comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
simple,71.7,100,3,JorgeTorresC,JorgeTorresC,28.3,0.283,0
simple,85,100,3,Orloffyeah,Orloffyeah,15,0.15,0
simple,0,100,3,Saariasba,Saariasba,100,1,0
simple,64.6,67.4,3,SergioLopez40,SergioLopez40,35.4,0.354,0
simple,100,100,3,alejosaur,alejosaur,0,0,0
simple,67,100,3,anythinglord,anythinglord,33,0.33,0
simple,32.6,100,3,buendiagon,buendiagon,67.4,0.674,0
simple,87.7,100,3,cglaitong,cglaitong,12.3,0.123,0
simple,3.7,100,3,criscapunal,criscapunal,96.3,0.963,0
simple,35.7,100,3,csalfonsol,csalfonsol,64.3,0.643,0
simple,61.7,25.2,3,daapinzonch,daapinzonch,38.3,0.383,0
simple,6.9,100,3,dcastanedar,dcastanedar,93.1,0.931,0
simple,35.4,100,3,dieguischa,dieguischa,64.6,0.646,0
simple,32.6,100,3,jaasuarezvi,jaasuarezvi,67.4,0.674,0
simple,87.3,100,3,jdsolanos,jdsolanos,12.7,0.127,0
simple,32.6,100,3,tres-xxx,tres-xxx,67.4,0.674,0
simple,42.9,100,3,trickyjuggler,trickyjuggler,57.1,0.571,0
maps,99.8,100,4,BrandonAvilanR,BrandonAvilanR,0.2,0.002,0
maps,76.6,96.7,4,DaniCastel,DaniCastel,23.4,0.234,0
maps,100,100,4,JorgeTorresC,JorgeTorresC,0,0,0
maps,32.6,100,4,Orloffyeah,Orloffyeah,67.4,0.674,0
maps,99.9,100,4,SergioLopez40,SergioLopez40,0.1,0.001,0
maps,100,100,4,alejosaur,alejosaur,0,0,0
maps,100,100,4,anythinglord,anythinglord,0,0,0
maps,100,100,4,cglaitong,cglaitong,0,0,0
maps,90.2,100,4,csalfonsol,csalfonsol,9.8,0.098,0
maps,28.3,37.2,4,daapinzonch,daapinzonch,71.7,0.717,0
maps,24.9,34.8,4,jdsolanos,jdsolanos,75.1,0.751,0
charts,100,100,4,BrandonAvilanR,BrandonAvilanR,0,0,0
charts,100,100,4,alejosaur,alejosaur,0,0,0
charts,100,100,4,cglaitong,cglaitong,0,0,0
charts,100,100,4,cglaitong,cglaitong,0,0,0
charts,100,100,4,cglaitong,cglaitong,0,0,0
charts,100,100,4,cglaitong,cglaitong,0,0,0
complete,46.3,100,4,BrandonAvilanR,BrandonAvilanR,53.7,0.537,0
complete,100,100,4,DSFarfanF,DSFarfanF,0,0,0
complete,71,100,4,DaniCastel,DaniCastel,29,0.29,0
complete,100,100,4,DaveValencia,DaveValencia,0,0,0
complete,93.4,100,4,JorgeTorresC,JorgeTorresC,6.6,0.066,0
complete,78.2,100,4,Orloffyeah,Orloffyeah,21.8,0.218,0
complete,0,100,4,Saariasba,Saariasba,100,1,0
complete,99.9,100,4,SergioLopez40,SergioLopez40,0.1,0.001,0
complete,100,100,4,alejosaur,alejosaur,0,0,0
complete,72.2,100,4,anythinglord,anythinglord,27.8,0.278,0
complete,100,100,4,buendiagon,buendiagon,0,0,0
complete,100,100,4,cglaitong,cglaitong,0,0,0
complete,65.3,53.8,4,criscapunal,criscapunal,34.7,0.347,0
complete,77.2,100,4,csalfonsol,csalfonsol,22.8,0.228,0
complete,49.4,100,4,daapinzonch,daapinzonch,50.6,0.506,0
complete,18.2,44.3,4,dcastanedar,dcastanedar,81.8,0.818,0
