,username1,username2,link1,link2,comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,ssim_exp_scale,group
734,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Acreed21/webapp_phase1/index.html,http://www.ironhacks.com/preview/Acreed21/webapp_phase2/index.html,simple,41.2,100.0,1,Acreed21,Acreed21,58.8,0.588,2
761,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Camiioo/webapp_phase1/index.html,http://www.ironhacks.com/preview/Camiioo/webapp_phase2/index.html,simple,46.1,100.0,1,Camiioo,Camiioo,53.9,0.539,2
788,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/FredyRosero/webapp_phase1/index.html,http://www.ironhacks.com/preview/FredyRosero/webapp_phase2/index.html,simple,100.0,100.0,1,FredyRosero,FredyRosero,0.0,0.0,2
815,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JamerMejiaGarcia/webapp_phase1/index.html,http://www.ironhacks.com/preview/JamerMejiaGarcia/webapp_phase2/index.html,simple,34.6,100.0,1,JamerMejiaGarcia,JamerMejiaGarcia,65.4,0.654,2
842,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jfcastroh/webapp_phase1/index.html,http://www.ironhacks.com/preview/Jfcastroh/webapp_phase2/index.html,simple,100.0,100.0,1,Jfcastroh,Jfcastroh,0.0,0.0,2
869,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/LauraMolina/webapp_phase1/index.html,http://www.ironhacks.com/preview/LauraMolina/webapp_phase2/index.html,simple,52.3,56.2,1,LauraMolina,LauraMolina,47.7,0.477,2
896,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/RafaelCruz15/webapp_phase1/index.html,http://www.ironhacks.com/preview/RafaelCruz15/webapp_phase2/index.html,simple,68.0,95.5,1,RafaelCruz15,RafaelCruz15,32.0,0.32,2
923,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/adcorredorm/webapp_phase1/index.html,http://www.ironhacks.com/preview/adcorredorm/webapp_phase2/index.html,simple,58.4,96.7,1,adcorredorm,adcorredorm,41.6,0.416,2
950,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/alebautis/webapp_phase1/index.html,http://www.ironhacks.com/preview/alebautis/webapp_phase2/index.html,simple,100.0,100.0,1,alebautis,alebautis,0.0,0.0,2
977,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ayperezc/webapp_phase1/index.html,http://www.ironhacks.com/preview/ayperezc/webapp_phase2/index.html,simple,61.0,57.9,1,ayperezc,ayperezc,39.0,0.39,2
1004,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bfprietoc/webapp_phase1/index.html,http://www.ironhacks.com/preview/bfprietoc/webapp_phase2/index.html,simple,100.0,100.0,1,bfprietoc,bfprietoc,0.0,0.0,2
1031,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/biherrerap/webapp_phase1/index.html,http://www.ironhacks.com/preview/biherrerap/webapp_phase2/index.html,simple,6.2,100.0,1,biherrerap,biherrerap,93.8,0.938,2
1058,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/dahrojasca/webapp_phase1/index.html,http://www.ironhacks.com/preview/dahrojasca/webapp_phase2/index.html,simple,16.0,100.0,1,dahrojasca,dahrojasca,84.0,0.84,2
1085,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/davideperdomo/webapp_phase1/index.html,http://www.ironhacks.com/preview/davideperdomo/webapp_phase2/index.html,simple,67.4,88.9,1,davideperdomo,davideperdomo,32.599999999999994,0.326,2
1112,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/frnkbs/webapp_phase1/index.html,http://www.ironhacks.com/preview/frnkbs/webapp_phase2/index.html,simple,56.1,100.0,1,frnkbs,frnkbs,43.9,0.439,2
1139,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gahormigag/webapp_phase1/index.html,http://www.ironhacks.com/preview/gahormigag/webapp_phase2/index.html,simple,100.0,100.0,1,gahormigag,gahormigag,0.0,0.0,2
1167,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ironhacktech2/webapp_phase1/index.html,http://www.ironhacks.com/preview/ironhacktech2/webapp_phase2/index.html,simple,100.0,100.0,1,ironhacktech2,ironhacktech2,0.0,0.0,2
1194,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jannMorenoJ/webapp_phase1/index.html,http://www.ironhacks.com/preview/jannMorenoJ/webapp_phase2/index.html,simple,98.9,100.0,1,jannMorenoJ,jannMorenoJ,1.0999999999999943,0.011,2
1221,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jdgaitanf/webapp_phase1/index.html,http://www.ironhacks.com/preview/jdgaitanf/webapp_phase2/index.html,simple,34.3,82.7,1,jdgaitanf,jdgaitanf,65.7,0.657,2
1248,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nikolasto/webapp_phase1/index.html,http://www.ironhacks.com/preview/nikolasto/webapp_phase2/index.html,simple,43.4,97.3,1,nikolasto,nikolasto,56.6,0.566,2
1275,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/pahigueraf/webapp_phase1/index.html,http://www.ironhacks.com/preview/pahigueraf/webapp_phase2/index.html,simple,100.0,100.0,1,pahigueraf,pahigueraf,0.0,0.0,2
1302,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sarguellesr/webapp_phase1/index.html,http://www.ironhacks.com/preview/sarguellesr/webapp_phase2/index.html,simple,17.6,21.6,1,sarguellesr,sarguellesr,82.4,0.824,2
1329,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/uxjudges1/webapp_phase1/index.html,http://www.ironhacks.com/preview/uxjudges1/webapp_phase2/index.html,simple,1.5,100.0,1,uxjudges1,uxjudges1,98.5,0.985,2
1356,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/uxjudges/webapp_phase1/index.html,http://www.ironhacks.com/preview/uxjudges/webapp_phase2/index.html,simple,100.0,100.0,1,uxjudges,uxjudges,0.0,0.0,2
1383,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/vvargasd/webapp_phase1/index.html,http://www.ironhacks.com/preview/vvargasd/webapp_phase2/index.html,simple,100.0,100.0,1,vvargasd,vvargasd,0.0,0.0,2
1386,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/FredyRosero/webapp_phase2/index.html,http://www.ironhacks.com/preview/FredyRosero/webapp_phase3/index.html,maps,5.5,100.0,2,FredyRosero,FredyRosero,94.5,0.945,2
1401,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JamerMejiaGarcia/webapp_phase2/index.html,http://www.ironhacks.com/preview/JamerMejiaGarcia/webapp_phase3/index.html,maps,100.0,100.0,2,JamerMejiaGarcia,JamerMejiaGarcia,0.0,0.0,2
1416,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/LauraMolina/webapp_phase2/index.html,http://www.ironhacks.com/preview/LauraMolina/webapp_phase3/index.html,maps,100.0,100.0,2,LauraMolina,LauraMolina,0.0,0.0,2
1431,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/RafaelCruz15/webapp_phase2/index.html,http://www.ironhacks.com/preview/RafaelCruz15/webapp_phase3/index.html,maps,19.1,33.0,2,RafaelCruz15,RafaelCruz15,80.9,0.809,2
1446,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/adcorredorm/webapp_phase2/index.html,http://www.ironhacks.com/preview/adcorredorm/webapp_phase3/index.html,maps,100.0,100.0,2,adcorredorm,adcorredorm,0.0,0.0,2
1461,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ayperezc/webapp_phase2/index.html,http://www.ironhacks.com/preview/ayperezc/webapp_phase3/index.html,maps,100.0,100.0,2,ayperezc,ayperezc,0.0,0.0,2
1491,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gimg1859/webapp_phase2/index.html,http://www.ironhacks.com/preview/gimg1859/webapp_phase3/index.html,maps,38.7,37.4,2,gimg1859,gimg1859,61.3,0.613,2
1520,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jdgaitanf/webapp_phase2/index.html,http://www.ironhacks.com/preview/jdgaitanf/webapp_phase3/index.html,maps,49.0,36.2,2,jdgaitanf,jdgaitanf,51.0,0.51,2
1536,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/pahigueraf/webapp_phase2/index.html,http://www.ironhacks.com/preview/pahigueraf/webapp_phase3/index.html,maps,3.8,80.0,2,pahigueraf,pahigueraf,96.2,0.962,2
1551,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sarguellesr/webapp_phase2/index.html,http://www.ironhacks.com/preview/sarguellesr/webapp_phase3/index.html,maps,100.0,100.0,2,sarguellesr,sarguellesr,0.0,0.0,2
1552,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Acreed21/webapp_phase2/index.html,http://www.ironhacks.com/preview/Acreed21/webapp_phase3/index.html,complete,100.0,100.0,2,Acreed21,Acreed21,0.0,0.0,2
1579,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Camiioo/webapp_phase2/index.html,http://www.ironhacks.com/preview/Camiioo/webapp_phase3/index.html,complete,25.4,100.0,2,Camiioo,Camiioo,74.6,0.746,2
