,type,dist_search,stage
519,Functions Search,0.99,3
520,Functions Search,0.125,3
521,Functions Search,0.99,3
522,Functions Search,0.99,3
523,Functions Search,0.99,3
524,Functions Search,0.45098,3
525,Functions Search,0.99,3
526,Functions Search,0.7625,3
527,Functions Search,0.99,4
528,Functions Search,0.99,4
529,Functions Search,0.99,4
530,Functions Search,0.99,4
531,Functions Search,0.99,4
532,Functions Search,0.99,4
533,Functions Search,0.06383,4
534,Functions Search,0.99,4
535,Functions Search,0.99,4
536,Functions Search,0.285714,4
537,Functions Search,0.728814,4
538,Functions Search,0.99,4
539,Functions Search,0.687204,4
540,Functions Search,0.99,4
541,Functions Search,0.5,1
542,Functions Search,0.117647,1
543,Functions Search,0.176471,1
544,Functions Search,0.666667,1
545,Functions Search,0.545455,1
546,Functions Search,0.243902,1
547,Functions Search,0.8,1
548,Functions Search,0.625,1
549,Functions Search,0.99,1
550,Functions Search,0.99,1
551,Functions Search,0.99,1
552,Functions Search,0.99,1
553,Functions Search,0.99,1
554,Functions Search,0.99,1
555,Functions Search,0.592593,1
556,Functions Search,0.058824,1
557,Functions Search,0.25,1
558,Functions Search,0.571429,1
559,Functions Search,0.99,1
560,Functions Search,0.047619,1
561,Functions Search,0.058824,1
562,Functions Search,0.6,1
563,Functions Search,0.99,1
564,Functions Search,0.15,1
565,Functions Search,0.1,1
566,Functions Search,0.012821,1
567,Functions Search,0.5,2
568,Functions Search,0.99,2
569,Functions Search,0.333333,2
570,Functions Search,0.25,2
571,Functions Search,0.074074,2
572,Functions Search,0.99,2
573,Functions Search,0.571429,2
574,Functions Search,0.99,2
575,Functions Search,0.99,2
576,Functions Search,0.125,2
577,Functions Search,0.333333,2
578,Functions Search,0.642857,2
579,Functions Search,0.99,2
580,Functions Search,0.12,2
581,Functions Search,0.99,2
582,Functions Search,0.99,2
583,Functions Search,0.99,2
584,Functions Search,0.125,2
585,Functions Search,0.666667,2
586,Functions Search,0.785714,2
587,Functions Search,0.023438,2
588,Functions Search,0.99,2
589,Functions Search,0.68,3
590,Functions Search,0.270588,3
591,Functions Search,0.12,3
592,Functions Search,0.99,3
593,Functions Search,0.828571,3
594,Functions Search,0.99,3
595,Functions Search,0.99,3
596,Functions Search,0.99,3
597,Functions Search,0.293103,3
598,Functions Search,0.102564,3
599,Functions Search,0.8,3
600,Functions Search,0.99,3
601,Functions Search,0.5,3
602,Functions Search,0.99,3
603,Functions Search,0.361702,3
604,Functions Search,0.99,3
605,Functions Search,0.666667,3
606,Functions Search,0.285714,3
607,Functions Search,0.99,3
608,Functions Search,0.695652,3
609,Functions Search,0.088235,3
610,Functions Search,0.266667,3
611,Functions Search,0.285714,3
612,Functions Search,0.99,3
613,Functions Search,0.09375,4
614,Functions Search,0.578947,4
615,Functions Search,0.533333,4
616,Functions Search,0.878049,4
617,Functions Search,0.941176,4
618,Functions Search,0.99,4
619,Functions Search,0.99,4
620,Functions Search,0.6,4
621,Functions Search,0.99,4
622,Functions Search,0.9125,4
623,Functions Search,0.777778,4
624,Functions Search,0.793651,4
625,Functions Search,0.99,4
626,Functions Search,0.99,4
627,Functions Search,0.5,4
628,Functions Search,0.576577,4
629,Functions Search,0.875,4
630,Functions Search,0.730769,4
631,Functions Search,0.528736,4
632,Functions Search,0.918367,4
633,Functions Search,0.99,4
634,Functions Search,0.047619,4
635,Functions Search,0.99,4
636,Functions Search,0.99,4
637,Functions Search,0.450262,4
638,Functions Search,0.085106,4
