,Unnamed: 0,link1_change,link2_change,ssim_exp,stage,comparison_type,group,ssim_exp_scale,ssim_exp_new
6,6,DavidsMartinez,DavidsMartinez,100.0,1,functions,1,,1.0
7,7,sarguellesr,sarguellesr,100.0,1,functions,1,,1.0
8,8,garayf,garayf,9.821428571428571,1,functions,1,,0.098214
9,9,jdsolanos,jdsolanos,100.0,1,functions,1,,1.0
10,10,sebcamacho1703,sebcamacho1703,50.0,1,functions,1,,0.5
11,11,JulianM96,JulianM96,44.44444444444444,1,functions,1,,0.444444
12,12,xFortich,xFortich,15.789473684210526,1,functions,1,,0.157895
13,13,davideperdomo,davideperdomo,32.87671232876712,1,functions,1,,0.328767
14,14,facuellarg,facuellarg,17.647058823529413,2,functions,1,,0.176471
15,15,DaniCastel,DaniCastel,68.18181818181817,2,functions,1,,0.681818
16,16,BrandonAvilanR,BrandonAvilanR,45.10869565217392,2,functions,1,,0.451087
17,17,cglaitong,cglaitong,57.47126436781609,2,functions,1,,0.574713
18,18,jaleonro,jaleonro,100.0,2,functions,1,,1.0
19,19,alebautis,alebautis,100.0,2,functions,1,,1.0
20,20,Juankmilo97,Juankmilo97,96.96969696969695,2,functions,1,,0.969697
21,21,DavidsMartinez,DavidsMartinez,100.0,2,functions,1,,1.0
22,22,ayperezc,ayperezc,100.0,2,functions,1,,1.0
23,23,JamerMejiaGarcia,JamerMejiaGarcia,100.0,2,functions,1,,1.0
24,24,sebcamacho1703,sebcamacho1703,14.285714285714285,2,functions,1,,0.142857
25,25,JulianM96,JulianM96,73.91304347826086,2,functions,1,,0.73913
26,26,facuellarg,facuellarg,17.647058823529413,3,functions,1,,0.176471
27,27,DaniCastel,DaniCastel,23.728813559322035,3,functions,1,,0.237288
28,28,Gusgal03,Gusgal03,100.0,3,functions,1,,1.0
29,29,Caadiazsi,Caadiazsi,100.0,3,functions,1,,1.0
30,30,BrandonAvilanR,BrandonAvilanR,1.7142857142857144,3,functions,1,,0.017143
31,31,cglaitong,cglaitong,89.69072164948454,3,functions,1,,0.896907
32,32,alebautis,alebautis,100.0,3,functions,1,,1.0
33,33,nikolasto,nikolasto,12.5,3,functions,1,,0.125
34,34,gahormigag,gahormigag,100.0,3,functions,1,,1.0
35,35,Juankmilo97,Juankmilo97,100.0,3,functions,1,,1.0
36,36,sarguellesr,sarguellesr,100.0,3,functions,1,,1.0
37,37,ayperezc,ayperezc,45.09803921568628,3,functions,1,,0.45098
38,38,JamerMejiaGarcia,JamerMejiaGarcia,100.0,3,functions,1,,1.0
39,39,xFortich,xFortich,76.25,3,functions,1,,0.7625
40,40,alejosaur,alejosaur,100.0,4,functions,1,,1.0
41,41,jaasuarezvi,jaasuarezvi,100.0,4,functions,1,,1.0
42,42,Gusgal03,Gusgal03,100.0,4,functions,1,,1.0
43,43,Saariasba,Saariasba,100.0,4,functions,1,,1.0
44,44,Caadiazsi,Caadiazsi,100.0,4,functions,1,,1.0
45,45,Biopeligro,Biopeligro,100.0,4,functions,1,,1.0
46,46,evilcucaracha,evilcucaracha,6.382978723404255,4,functions,1,,0.06383
47,47,nikolasto,nikolasto,100.0,4,functions,1,,1.0
48,48,gahormigag,gahormigag,100.0,4,functions,1,,1.0
49,49,jdsolanos,jdsolanos,28.57142857142857,4,functions,1,,0.285714
