,link1_change,link2_change,ssim_exp,stage,comparison_type
155,jaleonro,jaleonro,0.5999999999999943,2,complete
156,jsalcinar,jsalcinar,25.700000000000003,2,complete
157,jssanchezo,jssanchezo,0.0,2,complete
158,nviverosb,nviverosb,0.0,2,complete
159,olimita,olimita,1.5999999999999943,2,complete
160,sebcamacho1703,sebcamacho1703,88.6,2,complete
161,serbatero,serbatero,0.5999999999999943,2,complete
162,xFortich,xFortich,6.200000000000003,2,complete
163,yaochoal,yaochoal,1.7000000000000028,2,complete
164,Alekzu,Alekzu,73.1,2,simple
165,Anvido,Anvido,81.3,2,simple
166,Biopeligro,Biopeligro,59.5,2,simple
167,Caadiazsi,Caadiazsi,55.0,2,simple
168,DavidsMartinez,DavidsMartinez,0.0,2,simple
169,DiegoAraque1207,DiegoAraque1207,71.8,2,simple
170,GabrielUnal,GabrielUnal,61.2,2,simple
171,Gavnic,Gavnic,63.5,2,simple
172,Gusgal03,Gusgal03,53.1,2,simple
173,Joacampora,Joacampora,50.6,2,simple
174,Juankmilo97,Juankmilo97,35.2,2,simple
175,Jufcardenasmo,Jufcardenasmo,0.0,2,simple
176,Ozai98,Ozai98,80.9,2,simple
177,Sariilan,Sariilan,0.0,2,simple
178,bsdiaza,bsdiaza,66.0,2,simple
179,casc3798,casc3798,0.0,2,simple
180,diefrodriguezcha,diefrodriguezcha,13.0,2,simple
181,facuellarg,facuellarg,72.4,2,simple
182,federgolo,federgolo,67.8,2,simple
183,garayf,garayf,0.0,2,simple
184,jaleonro,jaleonro,0.5999999999999943,2,simple
185,jsalcinar,jsalcinar,12.299999999999997,2,simple
186,jssanchezo,jssanchezo,0.0,2,simple
187,nviverosb,nviverosb,0.0,2,simple
188,olimita,olimita,1.5999999999999943,2,simple
189,sebcamacho1703,sebcamacho1703,76.9,2,simple
190,serbatero,serbatero,0.5999999999999943,2,simple
191,xFortich,xFortich,3.4000000000000057,2,simple
192,yaochoal,yaochoal,0.0,2,simple
193,DiegoAraque1207,DiegoAraque1207,0.0,3,maps
194,GabrielUnal,GabrielUnal,0.0,3,maps
195,Joacampora,Joacampora,66.9,3,maps
196,Juankmilo97,Juankmilo97,0.0,3,maps
197,bsdiaza,bsdiaza,70.4,3,maps
198,casc3798,casc3798,0.0,3,maps
199,diefrodriguezcha,diefrodriguezcha,15.400000000000006,3,maps
200,federgolo,federgolo,77.8,3,maps
201,nviverosb,nviverosb,0.0,3,maps
202,olimita,olimita,0.0,3,maps
203,serbatero,serbatero,0.0,3,maps
204,yaochoal,yaochoal,0.0,3,maps
205,Alekzu,Alekzu,92.8,3,complete
206,Anvido,Anvido,0.09999999999999432,3,complete
207,Biopeligro,Biopeligro,0.0,3,complete
208,Caadiazsi,Caadiazsi,0.0,3,complete
209,DavidsMartinez,DavidsMartinez,0.0,3,complete
210,DiegoAraque1207,DiegoAraque1207,0.29999999999999716,3,complete
211,GabrielUnal,GabrielUnal,0.0,3,complete
212,Gavnic,Gavnic,65.5,3,complete
213,Gusgal03,Gusgal03,0.0,3,complete
214,Joacampora,Joacampora,74.8,3,complete
215,Juankmilo97,Juankmilo97,0.9000000000000057,3,complete
216,Jufcardenasmo,Jufcardenasmo,51.4,3,complete
217,Ozai98,Ozai98,13.900000000000006,3,complete
218,Sariilan,Sariilan,0.0,3,complete
219,bsdiaza,bsdiaza,73.4,3,complete
220,casc3798,casc3798,0.0,3,complete
221,diefrodriguezcha,diefrodriguezcha,17.400000000000006,3,complete
222,facuellarg,facuellarg,72.4,3,complete
223,federgolo,federgolo,19.099999999999994,3,complete
224,garayf,garayf,0.20000000000000284,3,complete
225,jaleonro,jaleonro,13.799999999999997,3,complete
226,jsalcinar,jsalcinar,9.299999999999997,3,complete
227,jssanchezo,jssanchezo,0.0,3,complete
228,nviverosb,nviverosb,0.29999999999999716,3,complete
229,olimita,olimita,4.400000000000006,3,complete
230,sebcamacho1703,sebcamacho1703,40.1,3,complete
231,serbatero,serbatero,0.0,3,complete
232,xFortich,xFortich,32.900000000000006,3,complete
233,yaochoal,yaochoal,0.29999999999999716,3,complete
234,Alekzu,Alekzu,12.799999999999997,3,simple
235,Anvido,Anvido,0.09999999999999432,3,simple
