,Unnamed: 0,username1,username2,link1,link2,type,ssim,features2d,stage,link1_change,link2_change,ssim_exp,group,Unnamed: 0.1,ssim_exp_scale,dist_search
101,2563,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase3/index.html,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase4/index.html,complete,32.6,100.0,3,jaasuarezvi,jaasuarezvi,67.4,0,,0.674,0.674
102,2585,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jdsolanos/webapp_phase3/index.html,http://www.ironhacks.com/preview/jdsolanos/webapp_phase4/index.html,complete,45.8,100.0,3,jdsolanos,jdsolanos,54.2,0,,0.542,0.542
103,2607,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/tres-xxx/webapp_phase3/index.html,http://www.ironhacks.com/preview/tres-xxx/webapp_phase4/index.html,complete,32.6,100.0,3,tres-xxx,tres-xxx,67.4,0,,0.674,0.674
104,2629,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/trickyjuggler/webapp_phase3/index.html,http://www.ironhacks.com/preview/trickyjuggler/webapp_phase4/index.html,complete,32.9,96.5,3,trickyjuggler,trickyjuggler,67.1,0,,0.671,0.671
143,3484,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase4/index.html,http://www.ironhacks.com/preview/BrandonAvilanR/webapp_phase5/index.html,complete,46.3,100.0,4,BrandonAvilanR,BrandonAvilanR,53.7,0,,0.537,0.537
144,3514,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DSFarfanF/webapp_phase4/index.html,http://www.ironhacks.com/preview/DSFarfanF/webapp_phase5/index.html,complete,100.0,100.0,4,DSFarfanF,DSFarfanF,0.0,0,,0.0,0.01
145,3544,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaniCastel/webapp_phase4/index.html,http://www.ironhacks.com/preview/DaniCastel/webapp_phase5/index.html,complete,71.0,100.0,4,DaniCastel,DaniCastel,29.0,0,,0.29,0.29
146,3575,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/DaveValencia/webapp_phase4/index.html,http://www.ironhacks.com/preview/DaveValencia/webapp_phase5/index.html,complete,100.0,100.0,4,DaveValencia,DaveValencia,0.0,0,,0.0,0.01
147,3605,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase4/index.html,http://www.ironhacks.com/preview/JorgeTorresC/webapp_phase5/index.html,complete,93.4,100.0,4,JorgeTorresC,JorgeTorresC,6.599999999999994,0,,0.066,0.066
148,3637,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase4/index.html,http://www.ironhacks.com/preview/Orloffyeah/webapp_phase5/index.html,complete,78.2,100.0,4,Orloffyeah,Orloffyeah,21.8,0,,0.218,0.218
149,3667,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Saariasba/webapp_phase4/index.html,http://www.ironhacks.com/preview/Saariasba/webapp_phase5/index.html,complete,0.0,100.0,4,Saariasba,Saariasba,100.0,0,,1.0,0.99
150,3697,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SergioLopez40/webapp_phase4/index.html,http://www.ironhacks.com/preview/SergioLopez40/webapp_phase5/index.html,complete,99.9,100.0,4,SergioLopez40,SergioLopez40,0.0999999999999943,0,,0.001,0.001
151,3729,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/alejosaur/webapp_phase4/index.html,http://www.ironhacks.com/preview/alejosaur/webapp_phase5/index.html,complete,100.0,100.0,4,alejosaur,alejosaur,0.0,0,,0.0,0.01
152,3760,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/anythinglord/webapp_phase4/index.html,http://www.ironhacks.com/preview/anythinglord/webapp_phase5/index.html,complete,72.2,100.0,4,anythinglord,anythinglord,27.8,0,,0.278,0.278
153,3790,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/buendiagon/webapp_phase4/index.html,http://www.ironhacks.com/preview/buendiagon/webapp_phase5/index.html,complete,100.0,100.0,4,buendiagon,buendiagon,0.0,0,,0.0,0.01
154,3820,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/cglaitong/webapp_phase4/index.html,http://www.ironhacks.com/preview/cglaitong/webapp_phase5/index.html,complete,100.0,100.0,4,cglaitong,cglaitong,0.0,0,,0.0,0.01
155,3850,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/criscapunal/webapp_phase4/index.html,http://www.ironhacks.com/preview/criscapunal/webapp_phase5/index.html,complete,65.3,53.8,4,criscapunal,criscapunal,34.7,0,,0.347,0.347
156,3880,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/csalfonsol/webapp_phase4/index.html,http://www.ironhacks.com/preview/csalfonsol/webapp_phase5/index.html,complete,77.2,100.0,4,csalfonsol,csalfonsol,22.8,0,,0.228,0.228
157,3910,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/daapinzonch/webapp_phase4/index.html,http://www.ironhacks.com/preview/daapinzonch/webapp_phase5/index.html,complete,49.4,100.0,4,daapinzonch,daapinzonch,50.6,0,,0.506,0.506
158,3940,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/dcastanedar/webapp_phase4/index.html,http://www.ironhacks.com/preview/dcastanedar/webapp_phase5/index.html,complete,18.2,44.3,4,dcastanedar,dcastanedar,81.8,0,,0.818,0.818
159,3970,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/dieguischa/webapp_phase4/index.html,http://www.ironhacks.com/preview/dieguischa/webapp_phase5/index.html,complete,100.0,100.0,4,dieguischa,dieguischa,0.0,0,,0.0,0.01
160,4001,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase4/index.html,http://www.ironhacks.com/preview/jaasuarezvi/webapp_phase5/index.html,complete,100.0,100.0,4,jaasuarezvi,jaasuarezvi,0.0,0,,0.0,0.01
161,4031,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jdsolanos/webapp_phase4/index.html,http://www.ironhacks.com/preview/jdsolanos/webapp_phase5/index.html,complete,49.4,100.0,4,jdsolanos,jdsolanos,50.6,0,,0.506,0.506
162,4061,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/tres-xxx/webapp_phase4/index.html,http://www.ironhacks.com/preview/tres-xxx/webapp_phase5/index.html,complete,100.0,100.0,4,tres-xxx,tres-xxx,0.0,0,,0.0,0.01
163,4091,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/trickyjuggler/webapp_phase4/index.html,http://www.ironhacks.com/preview/trickyjuggler/webapp_phase5/index.html,complete,59.1,90.8,4,trickyjuggler,trickyjuggler,40.9,0,,0.409,0.409
196,11,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/AkaGar/webapp_phase1/index.html,http://www.ironhacks.com/preview/AkaGar/webapp_phase2/index.html,complete,36.5,39.2,1,AkaGar,AkaGar,63.5,0,182.0,0.635,0.635
197,12,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/CampbellC2/webapp_phase1/index.html,http://www.ironhacks.com/preview/CampbellC2/webapp_phase2/index.html,complete,47.1,100.0,1,CampbellC2,CampbellC2,52.9,0,213.0,0.529,0.529
198,13,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/GeoffYart/webapp_phase1/index.html,http://www.ironhacks.com/preview/GeoffYart/webapp_phase2/index.html,complete,23.8,90.3,1,GeoffYart,GeoffYart,76.2,0,244.0,0.762,0.762
199,14,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Ilyumzhinov/webapp_phase1/index.html,http://www.ironhacks.com/preview/Ilyumzhinov/webapp_phase2/index.html,complete,50.0,100.0,1,Ilyumzhinov,Ilyumzhinov,50.0,0,275.0,0.5,0.5
200,15,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase1/index.html,http://www.ironhacks.com/preview/Jordan-Loeser/webapp_phase2/index.html,complete,95.7,95.4,1,Jordan-Loeser,Jordan-Loeser,4.299999999999997,0,306.0,0.043,0.043
201,16,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/LukasMMarinovic/webapp_phase1/index.html,http://www.ironhacks.com/preview/LukasMMarinovic/webapp_phase2/index.html,complete,68.4,39.6,1,LukasMMarinovic,LukasMMarinovic,31.599999999999994,0,337.0,0.316,0.316
202,17,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/RCODI/webapp_phase1/index.html,http://www.ironhacks.com/preview/RCODI/webapp_phase2/index.html,complete,17.9,22.7,1,RCODI,RCODI,82.1,0,368.0,0.821,0.821
203,18,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/SionHu/webapp_phase1/index.html,http://www.ironhacks.com/preview/SionHu/webapp_phase2/index.html,complete,53.8,100.0,1,SionHu,SionHu,46.2,0,399.0,0.462,0.462
204,19,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/aclipfel/webapp_phase1/index.html,http://www.ironhacks.com/preview/aclipfel/webapp_phase2/index.html,complete,100.0,100.0,1,aclipfel,aclipfel,0.0,0,430.0,0.0,0.01
205,20,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/bzin22/webapp_phase1/index.html,http://www.ironhacks.com/preview/bzin22/webapp_phase2/index.html,complete,9.2,76.5,1,bzin22,bzin22,90.8,0,461.0,0.908,0.908
