,type,stage,dist_search
408,data,4,0.01
409,data,4,0.01
410,data,4,0.01
411,data,4,0.01
412,data,4,0.01
413,data,4,0.01
414,data,4,0.01
415,data,4,0.5952380952380952
416,data,4,0.01
417,data,4,0.01
418,data,4,0.01
419,data,4,0.175
420,data,4,0.01
421,data,4,0.01
422,data,4,0.01
423,data,4,0.99
424,data,4,0.01
425,data,4,0.0769230769230768
426,data,4,0.01
427,data,4,0.01
428,data,4,0.01
429,data,4,0.01
430,data,4,0.99
431,complete,1,0.635
432,complete,1,0.529
433,complete,1,0.762
434,complete,1,0.5
435,complete,1,0.043
436,complete,1,0.316
437,complete,1,0.821
438,complete,1,0.462
439,complete,1,0.01
440,complete,1,0.908
441,complete,1,0.528
442,complete,1,0.796
443,complete,1,0.014
444,complete,1,0.403
445,complete,1,0.01
446,complete,1,0.002
447,complete,1,0.01
448,complete,1,0.283
449,complete,1,0.699
450,complete,1,0.578
451,complete,1,0.676
452,complete,1,0.838
453,complete,1,0.653
454,complete,1,0.278
455,complete,1,0.605
456,complete,1,0.734
457,complete,1,0.31
458,complete,1,0.64
459,complete,1,0.011
460,complete,1,0.489
461,complete,2,0.01
462,complete,2,0.738
463,complete,2,0.724
464,complete,2,0.01
465,complete,2,0.471
466,complete,2,0.325
467,complete,2,0.684
468,complete,2,0.01
469,complete,2,0.01
470,complete,2,0.129
471,complete,2,0.235
472,complete,2,0.107
473,complete,2,0.01
474,complete,2,0.097
475,complete,2,0.01
476,complete,2,0.01
477,complete,2,0.01
478,complete,2,0.661
479,complete,2,0.01
480,complete,2,0.001
481,complete,2,0.711
482,complete,2,0.739
483,complete,2,0.029
484,complete,2,0.003
485,complete,2,0.423
486,complete,2,0.01
487,complete,2,0.411
488,complete,2,0.635
489,complete,2,0.047
490,complete,2,0.084
491,complete,3,0.773
492,complete,3,0.519
493,complete,3,0.01
494,complete,3,0.012
495,complete,3,0.01
496,complete,3,0.539
497,complete,3,0.01
498,complete,3,0.01
499,complete,3,0.245
500,complete,3,0.588
501,complete,3,0.01
502,complete,3,0.003
503,complete,3,0.494
504,complete,3,0.01
505,complete,3,0.002
506,complete,3,0.01
507,complete,3,0.01
508,complete,3,0.01
509,complete,3,0.656
510,complete,3,0.005
511,complete,3,0.211
512,complete,3,0.09
513,complete,3,0.01
514,complete,3,0.423
515,complete,3,0.01
516,complete,3,0.01
517,complete,3,0.654
518,complete,3,0.082
519,complete,3,0.06
520,complete,4,0.449
521,complete,4,0.01
522,complete,4,0.001
523,complete,4,0.281
524,complete,4,0.242
525,complete,4,0.01
526,complete,4,0.063
527,complete,4,0.01
528,complete,4,0.005
529,complete,4,0.199
530,complete,4,0.01
531,complete,4,0.134
532,complete,4,0.01
533,complete,4,0.01
534,complete,4,0.1
535,complete,4,0.109
536,complete,4,0.527
537,complete,4,0.128
538,complete,4,0.544
539,complete,4,0.01
540,complete,4,0.748
541,complete,4,0.001
542,complete,4,0.013
543,complete,1,0.713
544,complete,1,0.507
545,complete,1,0.96
546,complete,1,0.607
547,complete,1,0.01
548,complete,1,0.642
549,complete,1,0.678
550,complete,1,0.627
551,complete,1,0.01
552,complete,1,0.479
553,complete,1,0.01
554,complete,1,0.883
555,complete,1,0.84
556,complete,1,0.561
