,type,stage,dist_search,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp
446,novel,2,0.01,2508.0,Nigogu,Nigogu,2.0,3.0,1.0,1.0
447,novel,2,0.99,2977.0,olimita,olimita,2.0,3.0,0.0,1.0
448,novel,2,0.01,3284.0,LauraMolina,LauraMolina,2.0,3.0,1.0,1.0
449,novel,2,0.4285714285714286,3438.0,cglaitong,cglaitong,2.0,3.0,0.5714285714285714,1.0
450,novel,2,0.8571428571428572,3589.0,BrandonAvilanR,BrandonAvilanR,2.0,3.0,0.1428571428571428,1.0
451,novel,2,0.1999999999999999,3739.0,alejosaur,alejosaur,2.0,3.0,0.8,1.0
452,novel,2,0.99,3888.0,garayf,garayf,2.0,3.0,0.0,1.0
453,novel,2,0.99,4037.0,xFortich,xFortich,2.0,3.0,0.0,1.0
454,novel,2,0.75,4184.0,davideperdomo,davideperdomo,2.0,3.0,0.25,1.0
455,novel,2,0.8333333333333334,4332.0,trickyjuggler,trickyjuggler,2.0,3.0,0.1666666666666666,1.0
456,novel,2,0.99,4478.0,jsalcinar,jsalcinar,2.0,3.0,0.0,1.0
457,novel,2,0.01,4622.0,Anvido,Anvido,2.0,3.0,1.0,1.0
458,novel,2,0.99,4765.0,federgolo,federgolo,2.0,3.0,0.0,1.0
459,novel,2,0.8333333333333334,5048.0,pahigueraf,pahigueraf,2.0,3.0,0.1666666666666666,1.0
460,novel,3,0.99,5326.0,mdecloedt,mdecloedt,3.0,4.0,0.0,1.0
461,novel,3,0.99,5464.0,Jordan-Loeser,Jordan-Loeser,3.0,4.0,0.0,1.0
462,novel,3,0.01,5601.0,LukasMMarinovic,LukasMMarinovic,3.0,4.0,1.0,1.0
463,novel,3,0.7272727272727273,5738.0,jmamaril25,jmamaril25,3.0,4.0,0.2727272727272727,1.0
464,novel,3,0.99,5874.0,noah-curran,noah-curran,3.0,4.0,0.0,1.0
465,novel,3,0.8,6008.0,bzin22,bzin22,3.0,4.0,0.2,1.0
466,novel,3,0.01,6141.0,AkaGar,AkaGar,3.0,4.0,1.0,1.0
467,novel,3,0.01,6273.0,matson3,matson3,3.0,4.0,1.0,1.0
468,novel,3,0.01,6404.0,ecottle,ecottle,3.0,4.0,1.0,1.0
469,novel,3,0.99,6534.0,littlex2015,littlex2015,3.0,4.0,0.0,1.0
470,novel,3,0.8,6663.0,nbraunec,nbraunec,3.0,4.0,0.2,1.0
471,novel,3,0.01,6791.0,hihms,hihms,3.0,4.0,1.0,1.0
472,novel,3,0.01,6919.0,zhao744,zhao744,3.0,4.0,1.0,1.0
473,novel,3,0.6,7045.0,ko68,ko68,3.0,4.0,0.4,1.0
474,novel,3,0.01,7171.0,gshowal,gshowal,3.0,4.0,1.0,1.0
475,novel,3,0.99,7295.0,Nigogu,Nigogu,3.0,4.0,0.0,1.0
476,novel,3,0.99,7418.0,daapinzonch,daapinzonch,3.0,4.0,0.0,1.0
477,novel,3,0.99,7781.0,olimita,olimita,3.0,4.0,0.0,1.0
478,novel,3,0.8333333333333334,7900.0,Joacampora,Joacampora,3.0,4.0,0.1666666666666666,1.0
479,novel,3,0.01,8019.0,LauraMolina,LauraMolina,3.0,4.0,1.0,1.0
480,novel,3,0.01,8136.0,evilcucaracha,evilcucaracha,3.0,4.0,1.0,1.0
481,novel,3,0.01,8252.0,JulianM96,JulianM96,3.0,4.0,1.0,1.0
482,novel,3,0.1666666666666666,8367.0,cglaitong,cglaitong,3.0,4.0,0.8333333333333334,1.0
483,novel,3,0.4285714285714286,8594.0,alejosaur,alejosaur,3.0,4.0,0.5714285714285714,1.0
