,username1,username2,link1,link2,comparison_type,ssim,features2d,stage,link1_change,link2_change,ssim_exp
1930,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/frnkbs/webapp_phase2/index.html,http://www.ironhacks.com/preview/frnkbs/webapp_phase3/index.html,complete,56.1,100.0,2,frnkbs,frnkbs,43.9
1957,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gahormigag/webapp_phase2/index.html,http://www.ironhacks.com/preview/gahormigag/webapp_phase3/index.html,complete,100.0,100.0,2,gahormigag,gahormigag,0.0
1984,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/gimg1859/webapp_phase2/index.html,http://www.ironhacks.com/preview/gimg1859/webapp_phase3/index.html,complete,45.1,100.0,2,gimg1859,gimg1859,54.9
2011,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/ironhacktech2/webapp_phase2/index.html,http://www.ironhacks.com/preview/ironhacktech2/webapp_phase3/index.html,complete,100.0,100.0,2,ironhacktech2,ironhacktech2,0.0
2038,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jannMorenoJ/webapp_phase2/index.html,http://www.ironhacks.com/preview/jannMorenoJ/webapp_phase3/index.html,complete,28.1,100.0,2,jannMorenoJ,jannMorenoJ,71.9
2065,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/jdgaitanf/webapp_phase2/index.html,http://www.ironhacks.com/preview/jdgaitanf/webapp_phase3/index.html,complete,43.0,72.5,2,jdgaitanf,jdgaitanf,57.0
2092,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/nikolasto/webapp_phase2/index.html,http://www.ironhacks.com/preview/nikolasto/webapp_phase3/index.html,complete,58.1,94.3,2,nikolasto,nikolasto,41.9
2119,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/pahigueraf/webapp_phase2/index.html,http://www.ironhacks.com/preview/pahigueraf/webapp_phase3/index.html,complete,35.3,57.0,2,pahigueraf,pahigueraf,64.7
2146,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/sarguellesr/webapp_phase2/index.html,http://www.ironhacks.com/preview/sarguellesr/webapp_phase3/index.html,complete,81.0,100.0,2,sarguellesr,sarguellesr,19.0
2173,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/uxjudges1/webapp_phase2/index.html,http://www.ironhacks.com/preview/uxjudges1/webapp_phase3/index.html,complete,100.0,100.0,2,uxjudges1,uxjudges1,0.0
2200,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/uxjudges/webapp_phase2/index.html,http://www.ironhacks.com/preview/uxjudges/webapp_phase3/index.html,complete,100.0,100.0,2,uxjudges,uxjudges,0.0
2227,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/vvargasd/webapp_phase2/index.html,http://www.ironhacks.com/preview/vvargasd/webapp_phase3/index.html,complete,100.0,100.0,2,vvargasd,vvargasd,0.0
2228,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Acreed21/webapp_phase2/index.html,http://www.ironhacks.com/preview/Acreed21/webapp_phase3/index.html,simple,99.9,100.0,2,Acreed21,Acreed21,0.09999999999999432
2254,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Camiioo/webapp_phase2/index.html,http://www.ironhacks.com/preview/Camiioo/webapp_phase3/index.html,simple,46.1,100.0,2,Camiioo,Camiioo,53.9
2280,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/FredyRosero/webapp_phase2/index.html,http://www.ironhacks.com/preview/FredyRosero/webapp_phase3/index.html,simple,33.8,65.6,2,FredyRosero,FredyRosero,66.2
2306,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/JamerMejiaGarcia/webapp_phase2/index.html,http://www.ironhacks.com/preview/JamerMejiaGarcia/webapp_phase3/index.html,simple,100.0,100.0,2,JamerMejiaGarcia,JamerMejiaGarcia,0.0
2332,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/Jfcastroh/webapp_phase2/index.html,http://www.ironhacks.com/preview/Jfcastroh/webapp_phase3/index.html,simple,100.0,100.0,2,Jfcastroh,Jfcastroh,0.0
2358,www.ironhacks.com,www.ironhacks.com,http://www.ironhacks.com/preview/LauraMolina/webapp_phase2/index.html,http://www.ironhacks.com/preview/LauraMolina/webapp_phase3/index.html,simple,100.0,100.0,2,LauraMolina,LauraMolina,0.0
