,link1_change,link2_change,ssim_exp,stage,comparison_type
175,FredyRosero,FredyRosero,0.7000000000000028,3,maps
176,JamerMejiaGarcia,JamerMejiaGarcia,0.0,3,maps
177,LauraMolina,LauraMolina,0.0,3,maps
178,RafaelCruz15,RafaelCruz15,0.0,3,maps
179,adcorredorm,adcorredorm,0.0,3,maps
180,ayperezc,ayperezc,72.2,3,maps
181,biherrerap,biherrerap,0.0,3,maps
182,gimg1859,gimg1859,0.0,3,maps
183,pahigueraf,pahigueraf,0.0,3,maps
184,sarguellesr,sarguellesr,0.0,3,maps
185,pahigueraf,pahigueraf,0.0,3,charts
186,Acreed21,Acreed21,0.20000000000000284,3,complete
187,Camiioo,Camiioo,63.6,3,complete
188,FredyRosero,FredyRosero,14.900000000000006,3,complete
189,JamerMejiaGarcia,JamerMejiaGarcia,0.0,3,complete
190,Jfcastroh,Jfcastroh,70.7,3,complete
191,LauraMolina,LauraMolina,8.400000000000006,3,complete
192,RafaelCruz15,RafaelCruz15,0.0,3,complete
193,adcorredorm,adcorredorm,0.0,3,complete
194,alebautis,alebautis,0.0,3,complete
195,ayperezc,ayperezc,18.0,3,complete
196,bfprietoc,bfprietoc,0.0,3,complete
197,biherrerap,biherrerap,66.2,3,complete
198,dahrojasca,dahrojasca,57.9,3,complete
199,davideperdomo,davideperdomo,27.200000000000003,3,complete
200,frnkbs,frnkbs,25.700000000000003,3,complete
201,gahormigag,gahormigag,0.0,3,complete
202,gimg1859,gimg1859,0.0,3,complete
203,ironhacktech2,ironhacktech2,13.099999999999994,3,complete
204,jannMorenoJ,jannMorenoJ,0.0,3,complete
205,jdgaitanf,jdgaitanf,59.0,3,complete
206,nikolasto,nikolasto,67.1,3,complete
207,pahigueraf,pahigueraf,0.0,3,complete
208,sarguellesr,sarguellesr,0.0,3,complete
209,uxjudges1,uxjudges1,0.0,3,complete
210,uxjudges,uxjudges,0.0,3,complete
211,vvargasd,vvargasd,0.0,3,complete
212,Acreed21,Acreed21,0.20000000000000284,3,simple
213,Camiioo,Camiioo,0.0,3,simple
214,FredyRosero,FredyRosero,6.799999999999997,3,simple
215,JamerMejiaGarcia,JamerMejiaGarcia,0.0,3,simple
216,Jfcastroh,Jfcastroh,53.6,3,simple
217,LauraMolina,LauraMolina,0.0,3,simple
218,RafaelCruz15,RafaelCruz15,0.0,3,simple
219,adcorredorm,adcorredorm,0.0,3,simple
220,alebautis,alebautis,0.0,3,simple
221,ayperezc,ayperezc,4.200000000000003,3,simple
222,bfprietoc,bfprietoc,0.0,3,simple
223,biherrerap,biherrerap,66.2,3,simple
224,dahrojasca,dahrojasca,57.9,3,simple
225,frnkbs,frnkbs,72.4,3,simple
226,gahormigag,gahormigag,0.0,3,simple
227,gimg1859,gimg1859,64.2,3,simple
228,ironhacktech2,ironhacktech2,13.099999999999994,3,simple
229,jannMorenoJ,jannMorenoJ,0.0,3,simple
230,jdgaitanf,jdgaitanf,59.0,3,simple
231,nikolasto,nikolasto,67.1,3,simple
232,pahigueraf,pahigueraf,0.0,3,simple
233,sarguellesr,sarguellesr,0.0,3,simple
234,uxjudges1,uxjudges1,0.0,3,simple
235,uxjudges,uxjudges,0.0,3,simple
236,vvargasd,vvargasd,0.0,3,simple
237,FredyRosero,FredyRosero,0.5999999999999943,4,maps
238,JamerMejiaGarcia,JamerMejiaGarcia,0.0,4,maps
239,Jfcastroh,Jfcastroh,0.0,4,maps
240,LauraMolina,LauraMolina,0.0,4,maps
241,RafaelCruz15,RafaelCruz15,81.0,4,maps
242,adcorredorm,adcorredorm,74.2,4,maps
243,ayperezc,ayperezc,0.0,4,maps
244,biherrerap,biherrerap,0.0,4,maps
245,davideperdomo,davideperdomo,1.0999999999999943,4,maps
246,frnkbs,frnkbs,72.0,4,maps
247,pahigueraf,pahigueraf,74.2,4,maps
248,sarguellesr,sarguellesr,0.0,4,maps
249,Acreed21,Acreed21,66.4,4,complete
250,Camiioo,Camiioo,53.9,4,complete
251,FredyRosero,FredyRosero,49.4,4,complete
252,JamerMejiaGarcia,JamerMejiaGarcia,0.0,4,complete
253,Jfcastroh,Jfcastroh,0.0,4,complete
254,LauraMolina,LauraMolina,8.5,4,complete
255,RafaelCruz15,RafaelCruz15,53.9,4,complete
256,adcorredorm,adcorredorm,32.3,4,complete
257,alebautis,alebautis,0.0,4,complete
258,ayperezc,ayperezc,0.0,4,complete
259,bfprietoc,bfprietoc,0.0,4,complete
260,biherrerap,biherrerap,11.900000000000006,4,complete
261,dahrojasca,dahrojasca,87.5,4,complete
262,davideperdomo,davideperdomo,24.200000000000003,4,complete
263,frnkbs,frnkbs,34.8,4,complete
264,gahormigag,gahormigag,0.0,4,complete
265,gimg1859,gimg1859,67.2,4,complete
266,ironhacktech2,ironhacktech2,13.099999999999994,4,complete
267,jannMorenoJ,jannMorenoJ,0.0,4,complete
268,jdgaitanf,jdgaitanf,59.0,4,complete
269,nikolasto,nikolasto,0.0,4,complete
270,pahigueraf,pahigueraf,30.400000000000006,4,complete
271,sarguellesr,sarguellesr,0.0,4,complete
272,uxjudges1,uxjudges1,0.0,4,complete
273,uxjudges,uxjudges,0.0,4,complete
274,vvargasd,vvargasd,0.0,4,complete
275,Acreed21,Acreed21,58.5,4,simple
276,Camiioo,Camiioo,29.5,4,simple
277,FredyRosero,FredyRosero,7.599999999999994,4,simple
278,JamerMejiaGarcia,JamerMejiaGarcia,0.0,4,simple
279,Jfcastroh,Jfcastroh,0.0,4,simple
280,LauraMolina,LauraMolina,9.299999999999997,4,simple
281,RafaelCruz15,RafaelCruz15,39.5,4,simple
282,adcorredorm,adcorredorm,0.0,4,simple
283,alebautis,alebautis,0.0,4,simple
284,ayperezc,ayperezc,0.0,4,simple
