,link1_change,link2_change,ssim_exp,stage,comparison_type,ssim_exp_scale
162,criscapunal,criscapunal,34.7,4,complete,0.347
163,csalfonsol,csalfonsol,22.799999999999997,4,complete,0.228
164,daapinzonch,daapinzonch,50.6,4,complete,0.506
165,dcastanedar,dcastanedar,81.8,4,complete,0.818
166,dieguischa,dieguischa,0.0,4,complete,0.01
167,jaasuarezvi,jaasuarezvi,0.0,4,complete,0.01
168,jdsolanos,jdsolanos,50.6,4,complete,0.506
169,tres-xxx,tres-xxx,0.0,4,complete,0.01
170,trickyjuggler,trickyjuggler,40.9,4,complete,0.409
171,AkaGar,AkaGar,63.5,1,complete,0.635
172,CampbellC2,CampbellC2,52.9,1,complete,0.529
173,GeoffYart,GeoffYart,76.2,1,complete,0.762
174,Ilyumzhinov,Ilyumzhinov,50.0,1,complete,0.5
175,Jordan-Loeser,Jordan-Loeser,4.299999999999997,1,complete,0.043
176,LukasMMarinovic,LukasMMarinovic,31.599999999999994,1,complete,0.316
177,RCODI,RCODI,82.1,1,complete,0.821
178,SionHu,SionHu,46.2,1,complete,0.462
179,aclipfel,aclipfel,0.0,1,complete,0.01
180,bzin22,bzin22,90.8,1,complete,0.908
181,ecottle,ecottle,52.8,1,complete,0.528
182,gshowal,gshowal,79.6,1,complete,0.796
183,hihms,hihms,1.4000000000000057,1,complete,0.014
184,jmamaril25,jmamaril25,40.3,1,complete,0.403
185,jmhunter4711,jmhunter4711,0.0,1,complete,0.01
186,ko68,ko68,0.2000000000000028,1,complete,0.002
187,laurarotger,laurarotger,0.0,1,complete,0.01
188,laurenjank,laurenjank,28.3,1,complete,0.283
189,lennwgs,lennwgs,69.9,1,complete,0.699
190,littlex2015,littlex2015,57.8,1,complete,0.578
191,matson3,matson3,67.6,1,complete,0.676
192,mdecloedt,mdecloedt,83.8,1,complete,0.838
193,nbraunec,nbraunec,65.3,1,complete,0.653
194,noah-curran,noah-curran,27.8,1,complete,0.278
195,sanjitsama,sanjitsama,60.5,1,complete,0.605
196,shivans,shivans,73.4,1,complete,0.734
197,snugghash,snugghash,31.0,1,complete,0.31
198,viswapurdue,viswapurdue,64.0,1,complete,0.64
199,whipplem123,whipplem123,1.0999999999999943,1,complete,0.011
200,zhao744,zhao744,48.9,1,complete,0.489
201,AkaGar,AkaGar,0.0,2,complete,0.01
202,CampbellC2,CampbellC2,73.8,2,complete,0.738
