,username,stage,dist_search_novel,type,dist_search_vis,dist_search_data
196,Ilyumzhinov,1,0.0,simple,0.5,0.0
197,Jordan-Loeser,1,0.0,simple,0.043,0.0
198,Jordan-Loeser,1,0.0,simple,0.043,0.0
199,LukasMMarinovic,1,0.0,simple,0.316,0.0
200,LukasMMarinovic,1,0.0,simple,0.316,0.0
201,RCODI,1,0.0,simple,0.821,0.0
202,RCODI,1,0.0,simple,0.821,0.0
203,aclipfel,1,0.0,simple,0.01,0.0
204,aclipfel,1,0.0,simple,0.01,0.0
205,bzin22,1,0.0,simple,0.95,0.0
206,bzin22,1,0.0,simple,0.95,0.0
207,ecottle,1,0.0,simple,0.528,0.0
208,ecottle,1,0.0,simple,0.528,0.0
209,gshowal,1,0.0,simple,0.796,0.0
210,gshowal,1,0.0,simple,0.796,0.0
211,hihms,1,0.0,simple,0.284,0.0
212,hihms,1,0.0,simple,0.284,0.0
213,jmamaril25,1,0.0,simple,0.51,0.0
214,jmamaril25,1,0.0,simple,0.51,0.0
215,jmhunter4711,1,0.0,simple,0.01,0.0
216,jmhunter4711,1,0.0,simple,0.01,0.0
217,ko68,1,0.0,simple,0.002,0.0
218,ko68,1,0.0,simple,0.002,0.0
219,laurarotger,1,0.0,simple,0.01,0.0
220,laurarotger,1,0.0,simple,0.01,0.0
221,laurenjank,1,0.0,simple,0.067,0.0
222,laurenjank,1,0.0,simple,0.067,0.0
223,lennwgs,1,0.0,simple,0.678,0.0
224,lennwgs,1,0.0,simple,0.678,0.0
225,littlex2015,1,0.0,simple,0.908,0.0
226,littlex2015,1,0.0,simple,0.908,0.0
227,matson3,1,0.0,simple,0.999,0.0
228,matson3,1,0.0,simple,0.999,0.0
229,mdecloedt,1,0.0,simple,0.356,0.0
230,mdecloedt,1,0.0,simple,0.356,0.0
231,noah-curran,1,0.0,simple,0.172,0.0
232,noah-curran,1,0.0,simple,0.172,0.0
233,sanjitsama,1,0.0,simple,0.605,0.0
234,sanjitsama,1,0.0,simple,0.605,0.0
235,shivans,1,0.0,simple,0.734,0.0
236,shivans,1,0.0,simple,0.734,0.0
237,snugghash,1,0.0,simple,0.241,0.0
238,snugghash,1,0.0,simple,0.241,0.0
239,viswapurdue,1,0.0,simple,0.263,0.0
240,viswapurdue,1,0.0,simple,0.263,0.0
241,whipplem123,1,0.0,simple,0.011,0.0
242,whipplem123,1,0.0,simple,0.011,0.0
243,zhao744,1,0.0,simple,0.48,0.0
244,zhao744,1,0.0,simple,0.48,0.0
245,AkaGar,2,0.0,maps,0.01,0.0
246,AkaGar,2,0.0,maps,0.01,0.0
247,bzin22,2,0.0,maps,0.015,0.0
248,bzin22,2,0.0,maps,0.015,0.0
249,hihms,2,0.0,maps,0.01,0.0
250,hihms,2,0.0,maps,0.01,0.0
251,jmamaril25,2,0.0,maps,0.117,0.0
252,jmamaril25,2,0.0,maps,0.117,0.0
253,ko68,2,0.0,maps,0.01,0.0
254,ko68,2,0.0,maps,0.01,0.0
255,laurenjank,2,0.0,maps,0.768,0.0
256,laurenjank,2,0.0,maps,0.768,0.0
257,lennwgs,2,0.0,maps,0.01,0.0
258,lennwgs,2,0.0,maps,0.01,0.0
259,littlex2015,2,0.0,maps,0.01,0.0
260,littlex2015,2,0.0,maps,0.01,0.0
261,nbraunec,2,0.0,maps,0.01,0.0
262,nbraunec,2,0.0,maps,0.01,0.0
263,noah-curran,2,0.0,maps,0.01,0.0
264,noah-curran,2,0.0,maps,0.01,0.0
265,zhao744,2,0.0,maps,0.716,0.0
266,zhao744,2,0.0,maps,0.716,0.0
267,AkaGar,2,0.0,charts,1.008,0.0
268,AkaGar,2,0.0,charts,1.008,0.0
269,AkaGar,2,0.0,complete,0.01,0.0
270,AkaGar,2,0.0,complete,0.01,0.0
271,CampbellC2,2,0.0,complete,0.738,0.0
272,CampbellC2,2,0.0,complete,0.738,0.0
273,GeoffYart,2,0.0,complete,0.724,0.0
274,GeoffYart,2,0.0,complete,0.724,0.0
275,Ilyumzhinov,2,0.0,complete,0.01,0.0
276,Ilyumzhinov,2,0.0,complete,0.01,0.0
277,Jordan-Loeser,2,0.0,complete,0.471,0.0
278,Jordan-Loeser,2,0.0,complete,0.471,0.0
279,LukasMMarinovic,2,0.0,complete,0.325,0.0
280,LukasMMarinovic,2,0.0,complete,0.325,0.0
281,RCODI,2,0.0,complete,0.684,0.0
282,RCODI,2,0.0,complete,0.684,0.0
283,SionHu,2,0.0,complete,0.01,0.0
284,SionHu,2,0.0,complete,0.01,0.0
285,aclipfel,2,0.0,complete,0.01,0.0
286,aclipfel,2,0.0,complete,0.01,0.0
287,bzin22,2,0.0,complete,0.129,0.0
288,bzin22,2,0.0,complete,0.129,0.0
289,ecottle,2,0.0,complete,0.235,0.0
290,ecottle,2,0.0,complete,0.235,0.0
291,gshowal,2,0.0,complete,0.107,0.0
292,gshowal,2,0.0,complete,0.107,0.0
293,hihms,2,0.0,complete,0.01,0.0
294,hihms,2,0.0,complete,0.01,0.0
295,jmamaril25,2,0.0,complete,0.097,0.0
296,jmamaril25,2,0.0,complete,0.097,0.0
297,jmhunter4711,2,0.0,complete,0.01,0.0
298,jmhunter4711,2,0.0,complete,0.01,0.0
299,ko68,2,0.0,complete,0.01,0.0
300,ko68,2,0.0,complete,0.01,0.0
301,laurarotger,2,0.0,complete,0.01,0.0
302,laurarotger,2,0.0,complete,0.01,0.0
303,laurenjank,2,0.0,complete,0.661,0.0
304,laurenjank,2,0.0,complete,0.661,0.0
305,lennwgs,2,0.0,complete,0.01,0.0
306,lennwgs,2,0.0,complete,0.01,0.0
307,littlex2015,2,0.0,complete,0.001,0.0
308,littlex2015,2,0.0,complete,0.001,0.0
309,matson3,2,0.0,complete,0.711,0.0
310,matson3,2,0.0,complete,0.711,0.0
311,mdecloedt,2,0.0,complete,0.739,0.0
312,mdecloedt,2,0.0,complete,0.739,0.0
313,nbraunec,2,0.0,complete,0.029,0.0
314,nbraunec,2,0.0,complete,0.029,0.0
315,noah-curran,2,0.0,complete,0.003,0.0
316,noah-curran,2,0.0,complete,0.003,0.0
317,sanjitsama,2,0.0,complete,0.423,0.0
318,sanjitsama,2,0.0,complete,0.423,0.0
319,shivans,2,0.0,complete,0.01,0.0
320,shivans,2,0.0,complete,0.01,0.0
321,snugghash,2,0.0,complete,0.411,0.0
322,snugghash,2,0.0,complete,0.411,0.0
323,viswapurdue,2,0.0,complete,0.635,0.0
324,viswapurdue,2,0.0,complete,0.635,0.0
325,whipplem123,2,0.0,complete,0.047,0.0
326,whipplem123,2,0.0,complete,0.047,0.0
327,zhao744,2,0.0,complete,0.084,0.0
328,zhao744,2,0.0,complete,0.084,0.0
329,AkaGar,2,0.0,simple,0.01,0.0
330,AkaGar,2,0.0,simple,0.01,0.0
331,CampbellC2,2,0.0,simple,0.737,0.0
332,CampbellC2,2,0.0,simple,0.737,0.0
333,GeoffYart,2,0.0,simple,0.644,0.0
334,GeoffYart,2,0.0,simple,0.644,0.0
335,Ilyumzhinov,2,0.0,simple,0.01,0.0
336,Ilyumzhinov,2,0.0,simple,0.01,0.0
337,Jordan-Loeser,2,0.0,simple,0.471,0.0
338,Jordan-Loeser,2,0.0,simple,0.471,0.0
339,LukasMMarinovic,2,0.0,simple,0.325,0.0
340,LukasMMarinovic,2,0.0,simple,0.325,0.0
341,RCODI,2,0.0,simple,0.684,0.0
342,RCODI,2,0.0,simple,0.684,0.0
343,SionHu,2,0.0,simple,0.01,0.0
344,SionHu,2,0.0,simple,0.01,0.0
345,aclipfel,2,0.0,simple,0.01,0.0
346,aclipfel,2,0.0,simple,0.01,0.0
347,bzin22,2,0.0,simple,0.049,0.0
348,bzin22,2,0.0,simple,0.049,0.0
349,ecottle,2,0.0,simple,0.06,0.0
350,ecottle,2,0.0,simple,0.06,0.0
351,gshowal,2,0.0,simple,0.125,0.0
352,gshowal,2,0.0,simple,0.125,0.0
353,hihms,2,0.0,simple,0.01,0.0
354,hihms,2,0.0,simple,0.01,0.0
355,jmamaril25,2,0.0,simple,0.486,0.0
356,jmamaril25,2,0.0,simple,0.486,0.0
357,jmhunter4711,2,0.0,simple,0.01,0.0
358,jmhunter4711,2,0.0,simple,0.01,0.0
359,ko68,2,0.0,simple,0.01,0.0
360,ko68,2,0.0,simple,0.01,0.0
361,laurarotger,2,0.0,simple,0.01,0.0
362,laurarotger,2,0.0,simple,0.01,0.0
363,laurenjank,2,0.0,simple,0.162,0.0
364,laurenjank,2,0.0,simple,0.162,0.0
365,lennwgs,2,0.0,simple,0.01,0.0
366,lennwgs,2,0.0,simple,0.01,0.0
367,littlex2015,2,0.0,simple,0.093,0.0
368,littlex2015,2,0.0,simple,0.093,0.0
369,matson3,2,0.0,simple,0.99,0.0
370,matson3,2,0.0,simple,0.99,0.0
371,mdecloedt,2,0.0,simple,0.775,0.0
372,mdecloedt,2,0.0,simple,0.775,0.0
373,nbraunec,2,0.0,simple,0.029,0.0
374,nbraunec,2,0.0,simple,0.029,0.0
375,noah-curran,2,0.0,simple,0.003,0.0
376,noah-curran,2,0.0,simple,0.003,0.0
377,sanjitsama,2,0.0,simple,0.423,0.0
378,sanjitsama,2,0.0,simple,0.423,0.0
379,shivans,2,0.0,simple,0.01,0.0
380,shivans,2,0.0,simple,0.01,0.0
381,snugghash,2,0.0,simple,0.239,0.0
382,snugghash,2,0.0,simple,0.239,0.0
383,viswapurdue,2,0.0,simple,0.306,0.0
384,viswapurdue,2,0.0,simple,0.306,0.0
385,whipplem123,2,0.0,simple,0.025,0.0
386,whipplem123,2,0.0,simple,0.025,0.0
387,zhao744,2,0.0,simple,0.064,0.0
388,zhao744,2,0.0,simple,0.064,0.0
389,bzin22,3,0.0,maps,0.742,0.0
390,bzin22,3,0.0,maps,0.742,0.0
391,ecottle,3,0.0,maps,0.709,0.0
392,ecottle,3,0.0,maps,0.709,0.0
393,gshowal,3,0.0,maps,0.01,0.0
394,gshowal,3,0.0,maps,0.01,0.0
395,hihms,3,0.0,maps,0.005,0.0
396,hihms,3,0.0,maps,0.005,0.0
397,jmamaril25,3,0.0,maps,0.636,0.0
398,jmamaril25,3,0.0,maps,0.636,0.0
399,ko68,3,0.0,maps,0.01,0.0
400,ko68,3,0.0,maps,0.01,0.0
401,laurenjank,3,0.0,maps,0.01,0.0
402,laurenjank,3,0.0,maps,0.01,0.0
403,lennwgs,3,0.0,maps,0.01,0.0
404,lennwgs,3,0.0,maps,0.01,0.0
405,littlex2015,3,0.0,maps,0.694,0.0
406,littlex2015,3,0.0,maps,0.694,0.0
407,matson3,3,0.0,maps,0.01,0.0
408,matson3,3,0.0,maps,0.01,0.0
409,nbraunec,3,0.0,maps,0.099,0.0
410,nbraunec,3,0.0,maps,0.099,0.0
411,noah-curran,3,0.0,maps,0.095,0.0
412,noah-curran,3,0.0,maps,0.095,0.0
413,whipplem123,3,0.0,maps,0.01,0.0
414,whipplem123,3,0.0,maps,0.01,0.0
415,zhao744,3,0.0,maps,0.01,0.0
416,zhao744,3,0.0,maps,0.01,0.0
417,CampbellC2,3,0.0,complete,0.773,0.0
418,CampbellC2,3,0.0,complete,0.773,0.0
419,GeoffYart,3,0.0,complete,0.519,0.0
420,GeoffYart,3,0.0,complete,0.519,0.0
421,Ilyumzhinov,3,0.0,complete,0.01,0.0
422,Ilyumzhinov,3,0.0,complete,0.01,0.0
423,Jordan-Loeser,3,0.0,complete,0.012,0.0
424,Jordan-Loeser,3,0.0,complete,0.012,0.0
425,LukasMMarinovic,3,0.0,complete,0.01,0.0
426,LukasMMarinovic,3,0.0,complete,0.01,0.0
427,RCODI,3,0.0,complete,0.539,0.0
428,RCODI,3,0.0,complete,0.539,0.0
429,SionHu,3,0.0,complete,0.01,0.0
430,SionHu,3,0.0,complete,0.01,0.0
431,aclipfel,3,0.0,complete,0.01,0.0
432,aclipfel,3,0.0,complete,0.01,0.0
433,bzin22,3,0.0,complete,0.245,0.0
434,bzin22,3,0.0,complete,0.245,0.0
435,ecottle,3,0.0,complete,0.588,0.0
436,ecottle,3,0.0,complete,0.588,0.0
437,gshowal,3,0.0,complete,0.01,0.0
438,gshowal,3,0.0,complete,0.01,0.0
439,hihms,3,0.0,complete,0.003,0.0
440,hihms,3,0.0,complete,0.003,0.0
441,jmamaril25,3,0.0,complete,0.494,0.0
442,jmamaril25,3,0.0,complete,0.494,0.0
443,jmhunter4711,3,0.0,complete,0.01,0.0
444,jmhunter4711,3,0.0,complete,0.01,0.0
445,ko68,3,0.0,complete,0.002,0.0
446,ko68,3,0.0,complete,0.002,0.0
447,laurarotger,3,0.0,complete,0.01,0.0
448,laurarotger,3,0.0,complete,0.01,0.0
449,laurenjank,3,0.0,complete,0.01,0.0
450,laurenjank,3,0.0,complete,0.01,0.0
451,lennwgs,3,0.0,complete,0.01,0.0
452,lennwgs,3,0.0,complete,0.01,0.0
453,littlex2015,3,0.0,complete,0.656,0.0
454,littlex2015,3,0.0,complete,0.656,0.0
455,matson3,3,0.0,complete,0.005,0.0
456,matson3,3,0.0,complete,0.005,0.0
457,mdecloedt,3,0.0,complete,0.211,0.0
458,mdecloedt,3,0.0,complete,0.211,0.0
459,nbraunec,3,0.0,complete,0.09,0.0
460,nbraunec,3,0.0,complete,0.09,0.0
461,noah-curran,3,0.0,complete,0.01,0.0
462,noah-curran,3,0.0,complete,0.01,0.0
463,sanjitsama,3,0.0,complete,0.423,0.0
464,sanjitsama,3,0.0,complete,0.423,0.0
465,shivans,3,0.0,complete,0.01,0.0
466,shivans,3,0.0,complete,0.01,0.0
467,snugghash,3,0.0,complete,0.01,0.0
468,snugghash,3,0.0,complete,0.01,0.0
469,viswapurdue,3,0.0,complete,0.654,0.0
470,viswapurdue,3,0.0,complete,0.654,0.0
471,whipplem123,3,0.0,complete,0.082,0.0
472,whipplem123,3,0.0,complete,0.082,0.0
473,zhao744,3,0.0,complete,0.06,0.0
474,zhao744,3,0.0,complete,0.06,0.0
475,CampbellC2,3,0.0,simple,0.773,0.0
476,CampbellC2,3,0.0,simple,0.773,0.0
477,GeoffYart,3,0.0,simple,0.212,0.0
478,GeoffYart,3,0.0,simple,0.212,0.0
479,Ilyumzhinov,3,0.0,simple,0.01,0.0
480,Ilyumzhinov,3,0.0,simple,0.01,0.0
481,LukasMMarinovic,3,0.0,simple,0.01,0.0
482,LukasMMarinovic,3,0.0,simple,0.01,0.0
483,SionHu,3,0.0,simple,0.01,0.0
484,SionHu,3,0.0,simple,0.01,0.0
485,aclipfel,3,0.0,simple,0.01,0.0
486,aclipfel,3,0.0,simple,0.01,0.0
487,bzin22,3,0.0,simple,0.15,0.0
488,bzin22,3,0.0,simple,0.15,0.0
489,ecottle,3,0.0,simple,0.355,0.0
490,ecottle,3,0.0,simple,0.355,0.0
491,gshowal,3,0.0,simple,0.01,0.0
492,gshowal,3,0.0,simple,0.01,0.0
493,hihms,3,0.0,simple,0.01,0.0
494,hihms,3,0.0,simple,0.01,0.0
495,jmamaril25,3,0.0,simple,0.468,0.0
496,jmamaril25,3,0.0,simple,0.468,0.0
497,jmhunter4711,3,0.0,simple,0.01,0.0
498,jmhunter4711,3,0.0,simple,0.01,0.0
499,ko68,3,0.0,simple,0.002,0.0
500,ko68,3,0.0,simple,0.002,0.0
501,laurarotger,3,0.0,simple,0.01,0.0
502,laurarotger,3,0.0,simple,0.01,0.0
503,laurenjank,3,0.0,simple,0.01,0.0
504,laurenjank,3,0.0,simple,0.01,0.0
505,lennwgs,3,0.0,simple,0.01,0.0
506,lennwgs,3,0.0,simple,0.01,0.0
507,littlex2015,3,0.0,simple,0.805,0.0
508,littlex2015,3,0.0,simple,0.805,0.0
509,matson3,3,0.0,simple,0.006,0.0
510,matson3,3,0.0,simple,0.006,0.0
511,mdecloedt,3,0.0,simple,0.211,0.0
512,mdecloedt,3,0.0,simple,0.211,0.0
513,nbraunec,3,0.0,simple,0.082,0.0
514,nbraunec,3,0.0,simple,0.082,0.0
515,noah-curran,3,0.0,simple,0.01,0.0
516,noah-curran,3,0.0,simple,0.01,0.0
517,sanjitsama,3,0.0,simple,0.423,0.0
518,sanjitsama,3,0.0,simple,0.423,0.0
519,shivans,3,0.0,simple,0.01,0.0
520,shivans,3,0.0,simple,0.01,0.0
521,snugghash,3,0.0,simple,0.01,0.0
522,snugghash,3,0.0,simple,0.01,0.0
523,viswapurdue,3,0.0,simple,0.329,0.0
524,viswapurdue,3,0.0,simple,0.329,0.0
525,whipplem123,3,0.0,simple,0.044,0.0
526,whipplem123,3,0.0,simple,0.044,0.0
527,zhao744,3,0.0,simple,0.06,0.0
528,zhao744,3,0.0,simple,0.06,0.0
