,username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per,phase
307,bsdiaza,unal2,IH-Project-2017-bsdiaza_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,1,1,0,0,0,1,1,"jquery,d3,bootstrap,",0.023076923076923,97.6923076923077,5,50,59.26%,"0,0,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,62.96%,"0.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,62.96%,0,0.0,0.0%,,7,165.08361204013377,55.56%,3
308,casc3798,unal2,IH-Project-2017-casc3798_webapp_phase3,Wed Nov 15 19:18:47 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,0,1,1,1,1,"jquery,bootstrap,",0.0172413793103448,98.27586206896552,8,80,77.78%,"0,1,1,1,0,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,3,0.6666666666666667,70.37%,"3.0,0.0,0.0,;",14,205.0294852573713,77.78%,3
309,jsalcinar,unal2,IH-Project-2017-jsalcinar_webapp_phase3,Wed Nov 15 19:18:47 2017,0,3,"Fire Department Directory for New York State, School Safety Report, New York State Career Centers, ",1,1,1,1,1,1,1,1,"jquery,d3,bootstrap,",0.0222772277227722,97.77227722772275,9,90,85.19%,"0,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,66.67%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,66.67%,7,1.5555555555555556,85.19%,"1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,1.0,1.0,;",19,215.41478930501745,81.48%,3
310,Anvido,unal2,IH-Project-2017-Anvido_webapp_phase3,Wed Nov 15 19:18:47 2017,1,4,"Required Weather API, New York City Art Galleries, Fire Department Directory for New York State, New York City Museums, ",1,1,1,1,1,1,1,1,"jquery,materialize,",0.0019455252918287,99.80544747081711,10,100,96.3%,"1,1,1,1,1,1,1,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,85.19%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.391304347826086,81.48%,10,2.2222222222222223,92.59%,"1.0,0.0,0.0,;1.0,1.0,1.0,;3.0,0.0,0.0,;1.0,1.0,1.0,;",24,236.81027838869156,92.59%,3
311,Jufcardenasmo,unal2,IH-Project-2017-Jufcardenasmo_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],1,1,1,0,0,0,1,1,"bootstrap,",0.1232876712328767,87.67123287671232,6,60,55.56%,"0,1,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,48.15%,0,0.0,0.0%,,7,156.36688505062537,51.85%,3
312,federgolo,unal2,IH-Project-2017-federgolo_webapp_phase3,Wed Nov 15 19:18:47 2017,0,2,"Bicycle Routes Across New York State: Map, New York City Museums, ",0,1,1,0,0,0,1,1,"jquery,d3,bootstrap,",0.0044052863436123,99.55947136563876,5,50,62.96%,"0,0,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,85.19%,"1.0,0.0,1.0,0.0,1.0,0.0,",4,17.391304347826086,81.48%,6,1.3333333333333337,81.48%,"1.0,1.0,1.0,;3.0,0.0,0.0,;",15,185.67541339462423,70.37%,3
313,serbatero,unal2,IH-Project-2017-serbatero_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],1,1,1,0,0,0,1,1,"jquery,bootstrap,animate,",0.0223463687150838,97.76536312849164,6,60,66.67%,"0,1,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,48.15%,0,0.0,0.0%,,7,166.46101530240466,59.26%,3
314,GabrielUnal,unal2,IH-Project-2017-GabrielUnal_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
315,diefrodriguezcha,unal2,IH-Project-2017-diefrodriguezcha_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
316,adcorredorm,unal2,IH-Project-2017-adcorredorm_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
317,jdgaitanf,unal2,IH-Project-2017-jdgaitanf_webapp_phase3,Wed Nov 15 19:18:47 2017,1,2,"Required Weather API, New York City Museums, ",1,1,1,0,0,0,1,1,"jquery,bootstrap,",0.0555555555555555,94.44444444444444,7,70,70.37%,"1,1,1,1,0,0,0,1,1,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,48.15%,4,0.8888888888888888,77.78%,"1.0,0.0,0.0,;3.0,0.0,0.0,;",12,174.02898550724638,66.67%,3
318,pahigueraf,unal2,IH-Project-2017-pahigueraf_webapp_phase3,Wed Nov 15 19:18:47 2017,0,5,"new york address points, Fire Department Directory for New York State, New York City Art Galleries, New York State Career Centers, New York City Museums, ",1,1,1,1,1,1,1,1,"font-awesome,jquery,d3,bootstrap,",0.0019436345966958,99.80563654033044,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",4,80,96.3%,"1.0,1.0,0.0,1.0,1.0,",6,33.33333333333333,96.3%,"1.0,1.0,1.0,1.0,1.0,1.0,",10,43.47826086956522,96.3%,24,5.333333333333334,96.3%,"1.0,1.0,2.0,;1.0,1.0,2.0,;3.0,1.0,2.0,;3.0,1.0,2.0,;1.0,1.0,2.0,;",43,282.0954916127942,96.3%,3
319,RafaelCruz15,unal2,IH-Project-2017-RafaelCruz15_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
320,gimg1859,unal2,IH-Project-2017-gimg1859_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
321,jannMorenoJ,unal2,IH-Project-2017-jannMorenoJ_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
322,dahrojasca,unal2,IH-Project-2017-dahrojasca_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0240963855421686,97.59036144578312,3,30,48.15%,"0,0,0,1,0,0,0,1,0,",1,20,48.15%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,48.15%,0,0.0,0.0%,,4,136.28601361969618,48.15%,3
323,FredyRosero,unal2,IH-Project-2017-FredyRosero_webapp_phase3,Wed Nov 15 19:18:47 2017,0,0,[],0,0,1,0,0,0,1,0,,0.0333333333333333,96.66666666666669,3,30,0.0%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666669,0.0%,3
324,mdecloedt,honors0,IH-Project-2017-mdecloedt_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"angular,d3,jquery,bootstrap,",0.0660377358490566,93.39622641509436,9,90,55.56%,"1,1,1,1,0,1,1,1,1,",4,80,96.3%,"1.0,1.0,0.0,1.0,1.0,",6,33.33333333333333,96.3%,"1.0,2.0,1.0,1.0,0.0,1.0,",10,43.47826086956522,96.3%,8,1.7777777777777777,77.78%,"3.0,1.0,1.0,;3.0,0.0,0.0,;",27,272.13052593200257,96.3%,4
325,Jordan-Loeser,honors0,IH-Project-2017-Jordan-Loeser_webapp_phase4,Fri Nov 17 12:12:48 2017,1,2,"Zillow Home Value Searching API, Required Weather API, ",1,1,1,0,1,1,1,1,"react,jquery,d3,",0.0117233294255568,98.82766705744432,9,90,66.67%,"1,1,1,1,0,1,1,1,1,",3,60,92.59%,"1.0,1.0,0.0,1.0,0.0,",4,22.22222222222222,81.48%,"2.0,1.0,1.0,0.0,0.0,0.0,",7,30.434782608695656,92.59%,8,1.7777777777777777,77.78%,"3.0,1.0,1.0,;3.0,0.0,0.0,;",24,251.4750100526134,92.59%,4
326,LukasMMarinovic,honors0,IH-Project-2017-LukasMMarinovic_webapp_phase4,Fri Nov 17 12:12:48 2017,1,1,"Required Weather API, ",1,0,1,1,0,0,1,1,"animate,d3,jquery,bootstrap,",0.0367892976588628,96.32107023411372,7,70,25.93%,"1,1,0,1,1,0,0,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",13,193.07469342251952,25.93%,4
327,whipplem123,honors0,IH-Project-2017-whipplem123_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Zillow Home Value Searching API, ",1,1,1,1,1,1,1,1,"three,",0.0431654676258992,95.68345323741008,9,90,59.26%,"0,1,1,1,1,1,1,1,1,",1,20,18.52%,"1.0,0.0,0.0,0.0,0.0,",2,11.11111111111111,25.93%,"1.0,0.0,1.0,0.0,0.0,0.0,",3,13.043478260869565,25.93%,3,0.6666666666666667,29.63%,"3.0,0.0,0.0,;",15,212.43707642581583,51.85%,4
