,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp,stage,dist_search,type,Unnamed: 0.1,username1,username2,link1,link2,ssim,features2d,link1_change,link2_change,ssim_exp,group,Unnamed: 0.1.1,ssim_exp_scale
112,54259,SionHu,SionHu,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
113,54686,jmamaril25,jmamaril25,2.0,3.0,0.9743589743589745,1.0,2,0.0256410256410256,data,,,,,,,,,,,,,
114,55112,lennwgs,lennwgs,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
115,55537,viswapurdue,viswapurdue,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
116,55961,CampbellC2,CampbellC2,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
117,56384,noah-curran,noah-curran,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
118,56806,laurenjank,laurenjank,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
119,57227,bzin22,bzin22,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
120,57647,AkaGar,AkaGar,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
121,58066,matson3,matson3,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
122,58484,ecottle,ecottle,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
123,58901,littlex2015,littlex2015,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
124,59317,shivans,shivans,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
125,59732,nbraunec,nbraunec,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
126,60146,sanjitsama,sanjitsama,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
127,60559,Ilyumzhinov,Ilyumzhinov,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
128,60971,hihms,hihms,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
129,61382,snugghash,snugghash,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
130,61792,zhao744,zhao744,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
131,62201,aclipfel,aclipfel,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
132,62609,ko68,ko68,2.0,3.0,0.5714285714285714,1.0,2,0.4285714285714286,data,,,,,,,,,,,,,
133,63016,GeoffYart,GeoffYart,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
134,63827,Nigogu,Nigogu,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
135,64231,Daryhez,Daryhez,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
136,64634,daapinzonch,daapinzonch,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
137,65036,fewilchesc,fewilchesc,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
138,65437,JorgeTorresC,JorgeTorresC,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
139,65837,anythinglord,anythinglord,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
140,66236,criscapunal,criscapunal,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
141,66634,dieguischa,dieguischa,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
142,67031,Orloffyeah,Orloffyeah,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
143,67427,SergioLopez40,SergioLopez40,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
144,67822,DiegoAraque1207,DiegoAraque1207,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
145,68216,olimita,olimita,2.0,3.0,0.68,1.0,2,0.3199999999999999,data,,,,,,,,,,,,,
146,68609,yaochoal,yaochoal,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
147,69001,Gavnic,Gavnic,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
148,69392,Joacampora,Joacampora,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
149,69782,Ozai98,Ozai98,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
150,70171,nviverosb,nviverosb,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
151,70559,Sariilan,Sariilan,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
152,70946,Alekzu,Alekzu,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
153,71332,vvargasd,vvargasd,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
154,71717,biherrerap,biherrerap,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
155,72101,bfprietoc,bfprietoc,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
156,72484,LauraMolina,LauraMolina,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
157,72866,Acreed21,Acreed21,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
158,73247,Camiioo,Camiioo,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
159,73627,frnkbs,frnkbs,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
160,74006,Jfcastroh,Jfcastroh,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
161,74384,evilcucaracha,evilcucaracha,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
162,74761,JulianM96,JulianM96,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
163,75137,Saariasba,Saariasba,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
164,75512,tres-iqus,tres-iqus,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
165,75886,cglaitong,cglaitong,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
166,76259,DaniCastel,DaniCastel,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
167,76631,BrandonAvilanR,BrandonAvilanR,2.0,3.0,0.5813953488372093,1.0,2,0.4186046511627906,data,,,,,,,,,,,,,
168,77002,alejosaur,alejosaur,2.0,3.0,0.9285714285714286,1.0,2,0.0714285714285714,data,,,,,,,,,,,,,
169,77372,jaasuarezvi,jaasuarezvi,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
170,77741,jdsolanos,jdsolanos,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
171,78109,DavidsMartinez,DavidsMartinez,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
172,78476,Biopeligro,Biopeligro,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
173,78842,garayf,garayf,2.0,3.0,0.8095238095238095,1.0,2,0.1904761904761904,data,,,,,,,,,,,,,
174,79207,jaleonro,jaleonro,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
175,79571,facuellarg,facuellarg,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
176,79934,Caadiazsi,Caadiazsi,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
177,80296,sebcamacho1703,sebcamacho1703,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
178,80657,xFortich,xFortich,2.0,3.0,0.7096774193548387,1.0,2,0.2903225806451612,data,,,,,,,,,,,,,
179,81017,Gusgal03,Gusgal03,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
180,81376,Juankmilo97,Juankmilo97,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
181,81734,alebautis,alebautis,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
182,82091,sarguellesr,sarguellesr,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
183,82447,davideperdomo,davideperdomo,2.0,3.0,0.6052631578947368,1.0,2,0.3947368421052631,data,,,,,,,,,,,,,
184,82802,JamerMejiaGarcia,JamerMejiaGarcia,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
185,83156,nikolasto,nikolasto,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
186,83509,gahormigag,gahormigag,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
187,83861,ayperezc,ayperezc,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
188,84212,anferoar96,anferoar96,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
189,84562,StevenEsmar,StevenEsmar,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
190,84911,dcastanedar,dcastanedar,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
191,85259,trickyjuggler,trickyjuggler,2.0,3.0,0.9,1.0,2,0.0999999999999999,data,,,,,,,,,,,,,
192,85606,DaveValencia,DaveValencia,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
193,85952,csalfonsol,csalfonsol,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
194,86297,tres-xxx,tres-xxx,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
195,86641,buendiagon,buendiagon,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
196,86984,DSFarfanF,DSFarfanF,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
197,87326,jssanchezo,jssanchezo,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
198,87667,bsdiaza,bsdiaza,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
199,88007,casc3798,casc3798,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
200,88346,jsalcinar,jsalcinar,2.0,3.0,0.4571428571428571,1.0,2,0.5428571428571429,data,,,,,,,,,,,,,
201,88684,Anvido,Anvido,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
202,89021,Jufcardenasmo,Jufcardenasmo,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
203,89357,federgolo,federgolo,2.0,3.0,0.6538461538461539,1.0,2,0.3461538461538461,data,,,,,,,,,,,,,
204,89692,serbatero,serbatero,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
205,90026,GabrielUnal,GabrielUnal,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
206,90359,diefrodriguezcha,diefrodriguezcha,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
207,90691,adcorredorm,adcorredorm,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
208,91022,jdgaitanf,jdgaitanf,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
209,91352,pahigueraf,pahigueraf,2.0,3.0,0.7931034482758621,1.0,2,0.2068965517241379,data,,,,,,,,,,,,,
210,91681,RafaelCruz15,RafaelCruz15,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
211,92009,gimg1859,gimg1859,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
212,92336,jannMorenoJ,jannMorenoJ,2.0,3.0,0.0,1.0,2,1.0,data,,,,,,,,,,,,,
213,92662,dahrojasca,dahrojasca,2.0,3.0,1.0,1.0,2,0.0,data,,,,,,,,,,,,,
