,username,dist_search,stage,type
335,Ilyumzhinov,0.01,2,simple
336,Ilyumzhinov,0.01,2,simple
337,Jordan-Loeser,0.471,2,simple
338,Jordan-Loeser,0.471,2,simple
339,LukasMMarinovic,0.325,2,simple
340,LukasMMarinovic,0.325,2,simple
341,RCODI,0.684,2,simple
342,RCODI,0.684,2,simple
343,SionHu,0.01,2,simple
344,SionHu,0.01,2,simple
345,aclipfel,0.01,2,simple
346,aclipfel,0.01,2,simple
347,bzin22,0.049,2,simple
348,bzin22,0.049,2,simple
349,ecottle,0.06,2,simple
350,ecottle,0.06,2,simple
351,gshowal,0.125,2,simple
352,gshowal,0.125,2,simple
353,hihms,0.01,2,simple
354,hihms,0.01,2,simple
355,jmamaril25,0.486,2,simple
356,jmamaril25,0.486,2,simple
357,jmhunter4711,0.01,2,simple
358,jmhunter4711,0.01,2,simple
359,ko68,0.01,2,simple
360,ko68,0.01,2,simple
361,laurarotger,0.01,2,simple
362,laurarotger,0.01,2,simple
363,laurenjank,0.162,2,simple
364,laurenjank,0.162,2,simple
365,lennwgs,0.01,2,simple
366,lennwgs,0.01,2,simple
367,littlex2015,0.093,2,simple
368,littlex2015,0.093,2,simple
369,matson3,0.99,2,simple
370,matson3,0.99,2,simple
371,mdecloedt,0.775,2,simple
372,mdecloedt,0.775,2,simple
373,nbraunec,0.029,2,simple
374,nbraunec,0.029,2,simple
375,noah-curran,0.003,2,simple
376,noah-curran,0.003,2,simple
377,sanjitsama,0.423,2,simple
378,sanjitsama,0.423,2,simple
379,shivans,0.01,2,simple
380,shivans,0.01,2,simple
381,snugghash,0.239,2,simple
382,snugghash,0.239,2,simple
383,viswapurdue,0.306,2,simple
384,viswapurdue,0.306,2,simple
385,whipplem123,0.025,2,simple
386,whipplem123,0.025,2,simple
387,zhao744,0.064,2,simple
388,zhao744,0.064,2,simple
389,bzin22,0.742,3,maps
390,bzin22,0.742,3,maps
391,ecottle,0.709,3,maps
392,ecottle,0.709,3,maps
393,gshowal,0.01,3,maps
394,gshowal,0.01,3,maps
395,hihms,0.005,3,maps
396,hihms,0.005,3,maps
397,jmamaril25,0.636,3,maps
398,jmamaril25,0.636,3,maps
399,ko68,0.01,3,maps
400,ko68,0.01,3,maps
401,laurenjank,0.01,3,maps
402,laurenjank,0.01,3,maps
403,lennwgs,0.01,3,maps
404,lennwgs,0.01,3,maps
405,littlex2015,0.694,3,maps
406,littlex2015,0.694,3,maps
407,matson3,0.01,3,maps
408,matson3,0.01,3,maps
409,nbraunec,0.099,3,maps
410,nbraunec,0.099,3,maps
411,noah-curran,0.095,3,maps
412,noah-curran,0.095,3,maps
413,whipplem123,0.01,3,maps
414,whipplem123,0.01,3,maps
415,zhao744,0.01,3,maps
416,zhao744,0.01,3,maps
417,CampbellC2,0.773,3,complete
418,CampbellC2,0.773,3,complete
419,GeoffYart,0.519,3,complete
420,GeoffYart,0.519,3,complete
421,Ilyumzhinov,0.01,3,complete
422,Ilyumzhinov,0.01,3,complete
423,Jordan-Loeser,0.012,3,complete
424,Jordan-Loeser,0.012,3,complete
425,LukasMMarinovic,0.01,3,complete
426,LukasMMarinovic,0.01,3,complete
427,RCODI,0.539,3,complete
428,RCODI,0.539,3,complete
429,SionHu,0.01,3,complete
430,SionHu,0.01,3,complete
431,aclipfel,0.01,3,complete
432,aclipfel,0.01,3,complete
433,bzin22,0.245,3,complete
434,bzin22,0.245,3,complete
435,ecottle,0.588,3,complete
436,ecottle,0.588,3,complete
437,gshowal,0.01,3,complete
438,gshowal,0.01,3,complete
439,hihms,0.003,3,complete
440,hihms,0.003,3,complete
441,jmamaril25,0.494,3,complete
442,jmamaril25,0.494,3,complete
443,jmhunter4711,0.01,3,complete
444,jmhunter4711,0.01,3,complete
445,ko68,0.002,3,complete
446,ko68,0.002,3,complete
447,laurarotger,0.01,3,complete
448,laurarotger,0.01,3,complete
449,laurenjank,0.01,3,complete
450,laurenjank,0.01,3,complete
451,lennwgs,0.01,3,complete
452,lennwgs,0.01,3,complete
453,littlex2015,0.656,3,complete
454,littlex2015,0.656,3,complete
455,matson3,0.005,3,complete
456,matson3,0.005,3,complete
457,mdecloedt,0.211,3,complete
458,mdecloedt,0.211,3,complete
459,nbraunec,0.09,3,complete
460,nbraunec,0.09,3,complete
461,noah-curran,0.01,3,complete
462,noah-curran,0.01,3,complete
463,sanjitsama,0.423,3,complete
464,sanjitsama,0.423,3,complete
465,shivans,0.01,3,complete
466,shivans,0.01,3,complete
467,snugghash,0.01,3,complete
468,snugghash,0.01,3,complete
469,viswapurdue,0.654,3,complete
470,viswapurdue,0.654,3,complete
471,whipplem123,0.082,3,complete
472,whipplem123,0.082,3,complete
473,zhao744,0.06,3,complete
474,zhao744,0.06,3,complete
475,CampbellC2,0.773,3,simple
476,CampbellC2,0.773,3,simple
477,GeoffYart,0.212,3,simple
478,GeoffYart,0.212,3,simple
479,Ilyumzhinov,0.01,3,simple
480,Ilyumzhinov,0.01,3,simple
481,LukasMMarinovic,0.01,3,simple
482,LukasMMarinovic,0.01,3,simple
483,SionHu,0.01,3,simple
484,SionHu,0.01,3,simple
485,aclipfel,0.01,3,simple
486,aclipfel,0.01,3,simple
487,bzin22,0.15,3,simple
488,bzin22,0.15,3,simple
489,ecottle,0.355,3,simple
490,ecottle,0.355,3,simple
491,gshowal,0.01,3,simple
492,gshowal,0.01,3,simple
493,hihms,0.01,3,simple
494,hihms,0.01,3,simple
495,jmamaril25,0.468,3,simple
496,jmamaril25,0.468,3,simple
497,jmhunter4711,0.01,3,simple
