,Unnamed: 0,Unnamed: 0.1,type,stage,dist_search
411,411,411,data,4,0.0001
412,412,412,data,4,0.0001
413,413,413,data,4,0.0001
414,414,414,data,4,0.0001
415,415,415,data,4,6e-05
416,416,416,data,4,0.0001
417,417,417,data,4,0.0001
418,418,418,data,4,0.0001
419,419,419,data,4,1.8e-05
420,420,420,data,4,0.0001
421,421,421,data,4,0.0001
422,422,422,data,4,0.0001
423,423,423,data,4,0.0001
424,424,424,data,4,0.0001
425,425,425,data,4,8e-06
426,426,426,data,4,0.0001
427,427,427,data,4,0.0001
428,428,428,data,4,0.0001
429,429,429,data,4,0.0001
430,430,430,data,4,0.0001
431,431,431,novel,1,0.0001
432,432,432,novel,1,0.0001
433,433,433,novel,1,0.0001
434,434,434,novel,1,0.0001
435,435,435,novel,1,0.0001
436,436,436,novel,1,0.0001
437,437,437,novel,2,0.0001
438,438,438,novel,2,6.7e-05
439,439,439,novel,2,4.4e-05
440,440,440,novel,2,0.0001
441,441,441,novel,2,0.0001
442,442,442,novel,2,0.0001
443,443,443,novel,2,0.0001
444,444,444,novel,2,0.0001
445,445,445,novel,2,0.0001
446,446,446,novel,2,0.0001
447,447,447,novel,2,0.0001
448,448,448,novel,2,0.0001
449,449,449,novel,2,4.3e-05
450,450,450,novel,2,8.3e-05
451,451,451,novel,2,2e-05
452,452,452,novel,2,0.0001
453,453,453,novel,2,0.0001
454,454,454,novel,2,7.5e-05
455,455,455,novel,2,7.5e-05
456,456,456,novel,2,0.0001
457,457,457,novel,2,0.0001
458,458,458,novel,2,0.0001
459,459,459,novel,2,8.3e-05
460,460,460,novel,3,0.0001
461,461,461,novel,3,0.0001
462,462,462,novel,3,0.0001
463,463,463,novel,3,7.3e-05
464,464,464,novel,3,0.0001
465,465,465,novel,3,8e-05
466,466,466,novel,3,0.0001
467,467,467,novel,3,0.0001
468,468,468,novel,3,0.0001
469,469,469,novel,3,0.0001
470,470,470,novel,3,8e-05
471,471,471,novel,3,0.0001
472,472,472,novel,3,0.0001
473,473,473,novel,3,6e-05
474,474,474,novel,3,0.0001
475,475,475,novel,3,0.0001
476,476,476,novel,3,0.0001
477,477,477,novel,3,0.0001
478,478,478,novel,3,8e-05
479,479,479,novel,3,0.0001
480,480,480,novel,3,0.0001
481,481,481,novel,3,0.0001
482,482,482,novel,3,1.7e-05
483,483,483,novel,3,4.3e-05
484,484,484,novel,3,0.0001
485,485,485,novel,3,0.0001
486,486,486,novel,3,6.7e-05
487,487,487,novel,3,7.5e-05
488,488,488,novel,3,0.0001
489,489,489,novel,3,0.0001
490,490,490,novel,3,3.3e-05
491,491,491,novel,3,0.0001
492,492,492,novel,3,0.0001
493,493,493,novel,3,6.7e-05
494,494,494,novel,3,7.5e-05
495,495,495,novel,3,6.2e-05
496,496,496,novel,4,0.0001
497,497,497,novel,4,0.0001
498,498,498,novel,4,0.0001
499,499,499,novel,4,0.0001
500,500,500,novel,4,9.2e-05
501,501,501,novel,4,0.0001
502,502,502,novel,4,0.0001
503,503,503,novel,4,0.0001
504,504,504,novel,4,8.6e-05
505,505,505,novel,4,0.0001
506,506,506,novel,4,0.0001
507,507,507,novel,4,0.0001
508,508,508,novel,4,0.0001
509,509,509,novel,4,5e-05
510,510,510,novel,4,0.0001
511,511,511,novel,4,8.3e-05
512,512,512,novel,4,3.3e-05
513,513,513,novel,4,0.0001
514,514,514,novel,4,7.1e-05
515,515,515,novel,4,8e-05
516,516,516,novel,4,0.0001
517,517,517,novel,4,0.0001
518,518,518,novel,4,3.3e-05
519,519,519,novel,4,0.0001
520,520,520,novel,4,0.0001
521,521,521,novel,4,0.0001
522,522,522,novel,4,2.9e-05
523,523,523,novel,4,0.0001
524,524,524,novel,4,4.3e-05
525,525,525,novel,4,5e-05
526,526,526,novel,4,0.0001
527,527,527,novel,4,6.7e-05
528,528,528,novel,4,3.8e-05
529,529,529,novel,4,0.0001
530,530,530,novel,4,0.0001
531,531,531,novel,4,0.0001
532,532,532,novel,4,8e-05
533,533,533,novel,4,5e-05
534,534,534,novel,4,0.0001
535,535,535,novel,4,6e-05
536,536,536,novel,4,0.0001
537,537,537,novel,4,5e-05
