,username,stage,dist_search_novel,dist_search_vis,dist_search_data
199,ayperezc,4,0.0,0.01,1.0
200,biherrerap,4,0.0,0.01,1.0
201,frnkbs,4,0.0,0.72,1.0
202,sarguellesr,4,0.0,0.01,0.0
203,Caadiazsi,1,0.0,0.01,0.0
204,Joacampora,1,0.0,0.626,0.0
205,Juankmilo97,1,0.0,0.726,0.0
206,casc3798,1,0.0,0.827,0.0
207,diefrodriguezcha,1,0.0,0.01,0.0
208,federgolo,1,0.0,0.01,1.0
209,jaleonro,1,0.0,0.756,0.0
210,jsalcinar,1,0.0,0.738,1.0
211,nviverosb,1,0.0,0.01,1.0
212,olimita,1,0.0,0.726,1.0
213,serbatero,1,0.0,0.798,0.0
214,yaochoal,1,0.0,0.01,0.0
215,Joacampora,2,0.0,0.716,1.0
216,Juankmilo97,2,0.0,0.01,0.0
217,casc3798,2,0.0,0.01,1.0
218,diefrodriguezcha,2,0.0,0.15,0.0
219,jaleonro,2,0.0,0.162,0.0
220,nviverosb,2,0.0,0.01,1.0
221,serbatero,2,0.0,0.01,0.0
222,yaochoal,2,0.0,0.01,0.0
223,DiegoAraque1207,3,0.0,0.01,1.0
224,GabrielUnal,3,0.0,0.01,0.0
225,Juankmilo97,3,0.0,0.01,0.0
226,bsdiaza,3,0.0,0.704,0.0
227,diefrodriguezcha,3,0.0,0.154,1.0
228,nviverosb,3,0.0,0.01,1.0
229,serbatero,3,0.0,0.01,0.0
230,yaochoal,3,0.0,0.01,0.0
231,Alekzu,4,0.0,0.002,1.0
232,GabrielUnal,4,0.0,0.766,0.0
233,Juankmilo97,4,0.0,0.736,1.0
234,bsdiaza,4,0.0,0.124,0.0
235,nviverosb,4,0.0,0.01,1.0
236,serbatero,4,0.0,0.123,0.0
237,yaochoal,4,0.0,0.01,0.0
238,BrandonAvilanR,1,0.0,0.899,1.0
239,DaniCastel,1,0.0,0.935,0.0
240,Orloffyeah,1,0.0,0.629,1.0
241,anythinglord,1,0.0,0.718,1.0
242,cglaitong,1,0.0,0.604,1.0
243,criscapunal,1,0.0,0.06,0.0
244,csalfonsol,1,0.0,0.911,0.0
245,DaniCastel,2,0.0,0.018,0.0
246,Orloffyeah,2,0.0,0.629,1.0
247,anythinglord,2,0.0,0.755,1.0
248,criscapunal,2,0.0,0.593,1.0
249,csalfonsol,2,0.0,0.64,0.0
250,DaniCastel,3,0.0,0.842,1.0
251,JorgeTorresC,3,0.0,0.845,0.0
252,Orloffyeah,3,0.0,0.631,1.0
253,anythinglord,3,0.0,0.701,0.0
254,criscapunal,3,0.0,0.859,1.0
255,csalfonsol,3,0.0,0.463,0.0
256,jdsolanos,3,0.0,0.739,0.0
257,BrandonAvilanR,4,0.0,0.002,0.0
258,JorgeTorresC,4,0.0,0.01,1.0
259,SergioLopez40,4,0.0,0.001,0.0
260,anythinglord,4,0.0,0.01,0.0
261,csalfonsol,4,0.0,0.098,0.0
262,jdsolanos,4,0.0,0.751,1.0
263,Jordan-Loeser,1,0.0,0.0,1.0
264,LukasMMarinovic,1,0.0,0.0,0.0
265,whipplem123,1,0.0,0.0,0.0
266,SionHu,1,0.0,0.0,0.0
267,lennwgs,1,0.0,0.0,0.0
268,CampbellC2,1,0.0,0.0,0.0
269,noah-curran,1,0.0,0.0,1.0
270,matson3,1,0.0,0.0,1.0
271,ecottle,1,0.0,0.0,0.0
272,shivans,1,0.0,0.0,0.0
273,sanjitsama,1,0.0,0.0,0.0
274,Ilyumzhinov,1,0.0,0.0,0.0
275,snugghash,1,0.0,0.0,0.0
276,zhao744,1,0.0,0.0,1.0
277,aclipfel,1,0.0,0.0,0.0
278,jmhunter4711,1,0.0,0.0,0.0
279,Daryhez,1,0.0,0.0,0.0
280,daapinzonch,1,0.0,0.0,0.0
281,fewilchesc,1,0.0,0.0,0.0
282,JorgeTorresC,1,0.0,0.0,0.0
283,dieguischa,1,0.0,0.0,0.0
284,SergioLopez40,1,0.0,0.0,0.0
285,DiegoAraque1207,1,0.0,0.0,0.0
286,Gavnic,1,0.0,0.0,0.0
287,Ozai98,1,0.0,0.0,0.0
288,Sariilan,1,0.0,0.0,0.0
289,Alekzu,1,0.0,0.0,0.0
290,vvargasd,1,0.0,0.0,0.0
291,biherrerap,1,0.0,0.0,0.0
292,bfprietoc,1,0.0,0.0,0.0
293,Acreed21,1,0.0,0.0,0.0
294,Camiioo,1,0.0,0.0,0.0
295,frnkbs,1,0.0,0.0,0.0
296,Jfcastroh,1,0.0,0.0,0.0
297,evilcucaracha,1,0.0,0.0,0.0
298,JulianM96,1,0.0,0.0,0.0
299,Saariasba,1,0.0,0.0,0.0
300,tres-iqus,1,0.0,0.0,0.0
301,jaasuarezvi,1,0.0,0.0,0.0
302,jdsolanos,1,0.0,0.0,0.0
303,DavidsMartinez,1,0.0,0.0,0.0
304,Biopeligro,1,0.0,0.0,0.0
305,garayf,1,0.0,0.0,1.0
306,facuellarg,1,0.0,0.0,0.0
307,sebcamacho1703,1,0.0,0.0,0.0
308,xFortich,1,0.0,0.0,1.0
309,Gusgal03,1,0.0,0.0,0.0
310,alebautis,1,0.0,0.0,0.0
311,sarguellesr,1,0.0,0.0,0.0
312,JamerMejiaGarcia,1,0.0,0.0,0.0
313,nikolasto,1,0.0,0.0,0.0
314,gahormigag,1,0.0,0.0,0.0
315,ayperezc,1,0.0,0.0,0.0
316,anferoar96,1,0.0,0.0,0.0
317,StevenEsmar,1,0.0,0.0,0.0
318,dcastanedar,1,0.0,0.0,0.0
319,trickyjuggler,1,0.0,0.0,1.0
320,DaveValencia,1,0.0,0.0,0.0
321,tres-xxx,1,0.0,0.0,0.0
322,buendiagon,1,0.0,0.0,0.0
323,DSFarfanF,1,0.0,0.0,0.0
324,jssanchezo,1,0.0,0.0,0.0
325,bsdiaza,1,0.0,0.0,0.0
326,Anvido,1,0.0,0.0,1.0
327,Jufcardenasmo,1,0.0,0.0,0.0
328,GabrielUnal,1,0.0,0.0,0.0
329,adcorredorm,1,0.0,0.0,1.0
330,jdgaitanf,1,0.0,0.0,0.0
331,gimg1859,1,0.0,0.0,0.0
332,dahrojasca,1,0.0,0.0,0.0
333,LukasMMarinovic,2,0.0,0.0,1.0
334,whipplem123,2,0.0,0.0,0.0
335,SionHu,2,0.0,0.0,0.0
336,viswapurdue,2,0.0,0.0,0.0
337,CampbellC2,2,0.0,0.0,0.0
338,ecottle,2,0.0,0.0,1.0
339,shivans,2,0.0,0.0,0.0
340,sanjitsama,2,0.0,0.0,0.0
341,Ilyumzhinov,2,0.0,0.0,0.0
342,snugghash,2,0.0,0.0,0.0
343,aclipfel,2,0.0,0.0,0.0
344,GeoffYart,2,0.0,0.0,0.0
345,Daryhez,2,0.0,0.0,0.0
346,daapinzonch,2,0.0,0.0,1.0
347,fewilchesc,2,0.0,0.0,0.0
348,JorgeTorresC,2,0.0,0.0,0.0
349,dieguischa,2,0.0,0.0,1.0
350,SergioLopez40,2,0.0,0.0,0.0
351,DiegoAraque1207,2,0.0,0.0,0.0
352,Gavnic,2,0.0,0.0,0.0
353,Ozai98,2,0.0,0.0,0.0
354,Sariilan,2,0.0,0.0,0.0
355,Alekzu,2,0.0,0.0,0.0
356,vvargasd,2,0.0,0.0,0.0
357,biherrerap,2,0.0,0.0,0.0
358,bfprietoc,2,0.0,0.0,0.0
359,Acreed21,2,0.0,0.0,0.0
360,Camiioo,2,0.0,0.0,0.0
361,frnkbs,2,0.0,0.0,0.0
362,Jfcastroh,2,0.0,0.0,0.0
363,evilcucaracha,2,0.0,0.0,1.0
364,JulianM96,2,0.0,0.0,1.0
365,Saariasba,2,0.0,0.0,0.0
366,tres-iqus,2,0.0,0.0,0.0
367,jaasuarezvi,2,0.0,0.0,0.0
368,jdsolanos,2,0.0,0.0,0.0
369,DavidsMartinez,2,0.0,0.0,0.0
370,Biopeligro,2,0.0,0.0,0.0
371,facuellarg,2,0.0,0.0,0.0
372,Caadiazsi,2,0.0,0.0,0.0
373,sebcamacho1703,2,0.0,0.0,1.0
374,Gusgal03,2,0.0,0.0,0.0
375,alebautis,2,0.0,0.0,0.0
376,nikolasto,2,0.0,0.0,0.0
377,gahormigag,2,0.0,0.0,0.0
378,anferoar96,2,0.0,0.0,1.0
379,StevenEsmar,2,0.0,0.0,0.0
380,dcastanedar,2,0.0,0.0,0.0
381,DaveValencia,2,0.0,0.0,0.0
382,tres-xxx,2,0.0,0.0,0.0
383,buendiagon,2,0.0,0.0,0.0
384,DSFarfanF,2,0.0,0.0,0.0
385,jssanchezo,2,0.0,0.0,0.0
386,bsdiaza,2,0.0,0.0,0.0
387,Jufcardenasmo,2,0.0,0.0,0.0
388,GabrielUnal,2,0.0,0.0,0.0
389,jannMorenoJ,2,0.0,0.0,1.0
390,dahrojasca,2,0.0,0.0,0.0
391,SionHu,3,0.0,0.0,0.0
392,viswapurdue,3,0.0,0.0,1.0
393,CampbellC2,3,0.0,0.0,0.0
394,shivans,3,0.0,0.0,0.0
395,sanjitsama,3,0.0,0.0,0.0
396,Ilyumzhinov,3,0.0,0.0,0.0
397,snugghash,3,0.0,0.0,1.0
398,aclipfel,3,0.0,0.0,0.0
399,GeoffYart,3,0.0,0.0,1.0
400,Daryhez,3,0.0,0.0,0.0
401,fewilchesc,3,0.0,0.0,0.0
402,dieguischa,3,0.0,0.0,1.0
403,SergioLopez40,3,0.0,0.0,0.0
404,Gavnic,3,0.0,0.0,0.0
405,Ozai98,3,0.0,0.0,0.0
406,Sariilan,3,0.0,0.0,0.0
407,Alekzu,3,0.0,0.0,0.0
408,vvargasd,3,0.0,0.0,0.0
409,bfprietoc,3,0.0,0.0,0.0
410,frnkbs,3,0.0,0.0,0.0
411,Jfcastroh,3,0.0,0.0,0.0
412,Saariasba,3,0.0,0.0,0.0
413,tres-iqus,3,0.0,0.0,0.0
414,BrandonAvilanR,3,0.0,0.0,1.0
415,jaasuarezvi,3,0.0,0.0,0.0
416,DavidsMartinez,3,0.0,0.0,0.0
417,Biopeligro,3,0.0,0.0,0.0
418,jaleonro,3,0.0,0.0,0.0
419,facuellarg,3,0.0,0.0,0.0
420,Caadiazsi,3,0.0,0.0,0.0
421,Gusgal03,3,0.0,0.0,0.0
422,alebautis,3,0.0,0.0,0.0
423,nikolasto,3,0.0,0.0,0.0
424,gahormigag,3,0.0,0.0,0.0
425,StevenEsmar,3,0.0,0.0,0.0
426,dcastanedar,3,0.0,0.0,0.0
427,DaveValencia,3,0.0,0.0,0.0
428,tres-xxx,3,0.0,0.0,0.0
429,buendiagon,3,0.0,0.0,0.0
430,DSFarfanF,3,0.0,0.0,0.0
431,jssanchezo,3,0.0,0.0,0.0
432,Jufcardenasmo,3,0.0,0.0,1.0
433,jdgaitanf,3,0.0,0.0,1.0
434,jannMorenoJ,3,0.0,0.0,0.0
435,dahrojasca,3,0.0,0.0,0.0
436,SionHu,4,0.0,0.0,0.0
437,CampbellC2,4,0.0,0.0,1.0
438,shivans,4,0.0,0.0,0.0
439,nbraunec,4,0.0,0.0,1.0
440,sanjitsama,4,0.0,0.0,1.0
