,type,stage,dist_search,Unnamed: 0,user1,user2,user1_phase,user2_phase,similarity,temp
542,novel,3,0.01,5601.0,LukasMMarinovic,LukasMMarinovic,3.0,4.0,1.0,1.0
543,novel,3,0.7272727272727273,5738.0,jmamaril25,jmamaril25,3.0,4.0,0.2727272727272727,1.0
544,novel,3,0.99,5874.0,noah-curran,noah-curran,3.0,4.0,0.0,1.0
545,novel,3,0.8,6008.0,bzin22,bzin22,3.0,4.0,0.2,1.0
546,novel,3,0.01,6141.0,AkaGar,AkaGar,3.0,4.0,1.0,1.0
547,novel,3,0.01,6273.0,matson3,matson3,3.0,4.0,1.0,1.0
548,novel,3,0.01,6404.0,ecottle,ecottle,3.0,4.0,1.0,1.0
549,novel,3,0.99,6534.0,littlex2015,littlex2015,3.0,4.0,0.0,1.0
550,novel,3,0.8,6663.0,nbraunec,nbraunec,3.0,4.0,0.2,1.0
551,novel,3,0.01,6791.0,hihms,hihms,3.0,4.0,1.0,1.0
552,novel,3,0.01,6919.0,zhao744,zhao744,3.0,4.0,1.0,1.0
553,novel,3,0.6,7045.0,ko68,ko68,3.0,4.0,0.4,1.0
554,novel,3,0.01,7171.0,gshowal,gshowal,3.0,4.0,1.0,1.0
555,novel,3,0.99,7295.0,Nigogu,Nigogu,3.0,4.0,0.0,1.0
556,novel,3,0.99,7418.0,daapinzonch,daapinzonch,3.0,4.0,0.0,1.0
557,novel,3,0.99,7781.0,olimita,olimita,3.0,4.0,0.0,1.0
558,novel,3,0.8333333333333334,7900.0,Joacampora,Joacampora,3.0,4.0,0.1666666666666666,1.0
559,novel,3,0.01,8019.0,LauraMolina,LauraMolina,3.0,4.0,1.0,1.0
560,novel,3,0.01,8136.0,evilcucaracha,evilcucaracha,3.0,4.0,1.0,1.0
561,novel,3,0.01,8252.0,JulianM96,JulianM96,3.0,4.0,1.0,1.0
562,novel,3,0.1666666666666666,8367.0,cglaitong,cglaitong,3.0,4.0,0.8333333333333334,1.0
563,novel,3,0.4285714285714286,8594.0,alejosaur,alejosaur,3.0,4.0,0.5714285714285714,1.0
564,novel,3,0.01,8706.0,garayf,garayf,3.0,4.0,1.0,1.0
565,novel,3,0.99,8817.0,sebcamacho1703,sebcamacho1703,3.0,4.0,0.0,1.0
566,novel,3,0.8,8927.0,xFortich,xFortich,3.0,4.0,0.2,1.0
567,novel,3,0.75,9036.0,davideperdomo,davideperdomo,3.0,4.0,0.25,1.0
568,novel,3,0.99,9144.0,ayperezc,ayperezc,3.0,4.0,0.0,1.0
569,novel,3,0.01,9251.0,anferoar96,anferoar96,3.0,4.0,1.0,1.0
570,novel,3,0.25,9357.0,trickyjuggler,trickyjuggler,3.0,4.0,0.75,1.0
571,novel,3,0.01,9462.0,casc3798,casc3798,3.0,4.0,1.0,1.0
572,novel,3,0.01,9566.0,jsalcinar,jsalcinar,3.0,4.0,1.0,1.0
573,novel,3,0.6666666666666667,9669.0,Anvido,Anvido,3.0,4.0,0.3333333333333333,1.0
574,novel,3,0.75,9772.0,federgolo,federgolo,3.0,4.0,0.25,1.0
575,novel,3,0.625,9973.0,pahigueraf,pahigueraf,3.0,4.0,0.375,1.0
576,novel,4,0.99,10072.0,mdecloedt,mdecloedt,4.0,5.0,0.0,1.0
577,novel,4,0.99,10170.0,Jordan-Loeser,Jordan-Loeser,4.0,5.0,0.0,1.0
578,novel,4,0.01,10267.0,LukasMMarinovic,LukasMMarinovic,4.0,5.0,1.0,1.0
579,novel,4,0.01,10363.0,whipplem123,whipplem123,4.0,5.0,1.0,1.0
