,user1,user2,user1_phase,user2_phase,similarity,temp,stage,dist_search,type
98666,nbraunec,nbraunec,3,4,0.7941176470588235,1,3,0.20588235294117652,data
98972,sanjitsama,sanjitsama,3,4,1.0,1,3,0.01,data
99277,Ilyumzhinov,Ilyumzhinov,3,4,1.0,1,3,0.01,data
99581,hihms,hihms,3,4,1.0,1,3,0.01,data
99884,snugghash,snugghash,3,4,0.0,1,3,0.99,data
100186,zhao744,zhao744,3,4,1.0,1,3,0.01,data
100487,aclipfel,aclipfel,3,4,1.0,1,3,0.01,data
100787,ko68,ko68,3,4,1.0,1,3,0.01,data
101086,GeoffYart,GeoffYart,3,4,0.0,1,3,0.99,data
101384,gshowal,gshowal,3,4,1.0,1,3,0.01,data
101681,Nigogu,Nigogu,3,4,0.36585365853658536,1,3,0.6341463414634146,data
101977,Daryhez,Daryhez,3,4,1.0,1,3,0.01,data
102272,daapinzonch,daapinzonch,3,4,0.7096774193548387,1,3,0.29032258064516125,data
102566,fewilchesc,fewilchesc,3,4,1.0,1,3,0.01,data
102859,JorgeTorresC,JorgeTorresC,3,4,1.0,1,3,0.01,data
103151,anythinglord,anythinglord,3,4,1.0,1,3,0.01,data
103442,criscapunal,criscapunal,3,4,0.0,1,3,0.99,data
103732,dieguischa,dieguischa,3,4,0.0,1,3,0.99,data
104021,Orloffyeah,Orloffyeah,3,4,0.0,1,3,0.99,data
104309,SergioLopez40,SergioLopez40,3,4,1.0,1,3,0.01,data
104596,DiegoAraque1207,DiegoAraque1207,3,4,0.0,1,3,0.99,data
104882,olimita,olimita,3,4,0.8928571428571429,1,3,0.1071428571428571,data
105167,yaochoal,yaochoal,3,4,1.0,1,3,0.01,data
105451,Gavnic,Gavnic,3,4,1.0,1,3,0.01,data
105734,Joacampora,Joacampora,3,4,0.8857142857142857,1,3,0.11428571428571432,data
106016,Ozai98,Ozai98,3,4,1.0,1,3,0.01,data
106297,nviverosb,nviverosb,3,4,0.0,1,3,0.99,data
106577,Sariilan,Sariilan,3,4,1.0,1,3,0.01,data
106856,Alekzu,Alekzu,3,4,1.0,1,3,0.01,data
107134,vvargasd,vvargasd,3,4,1.0,1,3,0.01,data
107411,biherrerap,biherrerap,3,4,1.0,1,3,0.01,data
107687,bfprietoc,bfprietoc,3,4,1.0,1,3,0.01,data
107962,LauraMolina,LauraMolina,3,4,1.0,1,3,0.01,data
108236,Acreed21,Acreed21,3,4,1.0,1,3,0.01,data
108509,Camiioo,Camiioo,3,4,1.0,1,3,0.01,data
108781,frnkbs,frnkbs,3,4,1.0,1,3,0.01,data
109052,Jfcastroh,Jfcastroh,3,4,1.0,1,3,0.01,data
109322,evilcucaracha,evilcucaracha,3,4,1.0,1,3,0.01,data
109591,JulianM96,JulianM96,3,4,1.0,1,3,0.01,data
109859,Saariasba,Saariasba,3,4,1.0,1,3,0.01,data
110126,tres-iqus,tres-iqus,3,4,1.0,1,3,0.01,data
110392,cglaitong,cglaitong,3,4,0.9285714285714286,1,3,0.0714285714285714,data
110657,DaniCastel,DaniCastel,3,4,0.0,1,3,0.99,data
110921,BrandonAvilanR,BrandonAvilanR,3,4,0.0,1,3,0.99,data
111184,alejosaur,alejosaur,3,4,1.0,1,3,0.01,data
111446,jaasuarezvi,jaasuarezvi,3,4,1.0,1,3,0.01,data
111707,jdsolanos,jdsolanos,3,4,1.0,1,3,0.01,data
111967,DavidsMartinez,DavidsMartinez,3,4,1.0,1,3,0.01,data
112226,Biopeligro,Biopeligro,3,4,1.0,1,3,0.01,data
112484,garayf,garayf,3,4,1.0,1,3,0.01,data
112741,jaleonro,jaleonro,3,4,1.0,1,3,0.01,data
112997,facuellarg,facuellarg,3,4,1.0,1,3,0.01,data
113252,Caadiazsi,Caadiazsi,3,4,1.0,1,3,0.01,data
113506,sebcamacho1703,sebcamacho1703,3,4,1.0,1,3,0.01,data
113759,xFortich,xFortich,3,4,1.0,1,3,0.01,data
114011,Gusgal03,Gusgal03,3,4,1.0,1,3,0.01,data
114262,Juankmilo97,Juankmilo97,3,4,1.0,1,3,0.01,data
114512,alebautis,alebautis,3,4,1.0,1,3,0.01,data
114761,sarguellesr,sarguellesr,3,4,1.0,1,3,0.01,data
115009,davideperdomo,davideperdomo,3,4,0.8372093023255814,1,3,0.16279069767441856,data
115256,JamerMejiaGarcia,JamerMejiaGarcia,3,4,1.0,1,3,0.01,data
115502,nikolasto,nikolasto,3,4,1.0,1,3,0.01,data
115747,gahormigag,gahormigag,3,4,1.0,1,3,0.01,data
115991,ayperezc,ayperezc,3,4,0.5483870967741935,1,3,0.4516129032258065,data
116234,anferoar96,anferoar96,3,4,1.0,1,3,0.01,data
116476,StevenEsmar,StevenEsmar,3,4,1.0,1,3,0.01,data
116717,dcastanedar,dcastanedar,3,4,1.0,1,3,0.01,data
116957,trickyjuggler,trickyjuggler,3,4,0.84375,1,3,0.15625,data
117196,DaveValencia,DaveValencia,3,4,1.0,1,3,0.01,data
117434,csalfonsol,csalfonsol,3,4,1.0,1,3,0.01,data
117671,tres-xxx,tres-xxx,3,4,1.0,1,3,0.01,data
117907,buendiagon,buendiagon,3,4,1.0,1,3,0.01,data
118142,DSFarfanF,DSFarfanF,3,4,1.0,1,3,0.01,data
118376,jssanchezo,jssanchezo,3,4,1.0,1,3,0.01,data
118609,bsdiaza,bsdiaza,3,4,1.0,1,3,0.01,data
118841,casc3798,casc3798,3,4,1.0,1,3,0.01,data
119072,jsalcinar,jsalcinar,3,4,1.0,1,3,0.01,data
119302,Anvido,Anvido,3,4,0.9210526315789473,1,3,0.07894736842105265,data
119531,Jufcardenasmo,Jufcardenasmo,3,4,0.0,1,3,0.99,data
119759,federgolo,federgolo,3,4,0.7647058823529411,1,3,0.23529411764705888,data
119986,serbatero,serbatero,3,4,1.0,1,3,0.01,data
120212,GabrielUnal,GabrielUnal,3,4,1.0,1,3,0.01,data
120437,diefrodriguezcha,diefrodriguezcha,3,4,0.0,1,3,0.99,data
120661,adcorredorm,adcorredorm,3,4,1.0,1,3,0.01,data
120884,jdgaitanf,jdgaitanf,3,4,0.0,1,3,0.99,data
121106,pahigueraf,pahigueraf,3,4,0.8055555555555556,1,3,0.19444444444444442,data
121327,RafaelCruz15,RafaelCruz15,3,4,1.0,1,3,0.01,data
121547,gimg1859,gimg1859,3,4,1.0,1,3,0.01,data
121766,jannMorenoJ,jannMorenoJ,3,4,1.0,1,3,0.01,data
121984,dahrojasca,dahrojasca,3,4,1.0,1,3,0.01,data
122201,FredyRosero,FredyRosero,3,4,1.0,1,3,0.01,data
122417,mdecloedt,mdecloedt,4,5,1.0,1,4,0.01,data
122632,Jordan-Loeser,Jordan-Loeser,4,5,1.0,1,4,0.01,data
122846,LukasMMarinovic,LukasMMarinovic,4,5,1.0,1,4,0.01,data
123059,whipplem123,whipplem123,4,5,1.0,1,4,0.01,data
123271,SionHu,SionHu,4,5,1.0,1,4,0.01,data
123482,jmamaril25,jmamaril25,4,5,0.7441860465116279,1,4,0.2558139534883721,data
123692,lennwgs,lennwgs,4,5,1.0,1,4,0.01,data
123901,viswapurdue,viswapurdue,4,5,1.0,1,4,0.01,data
124109,CampbellC2,CampbellC2,4,5,0.0,1,4,0.99,data
124316,noah-curran,noah-curran,4,5,1.0,1,4,0.01,data
124522,laurenjank,laurenjank,4,5,1.0,1,4,0.01,data
124727,bzin22,bzin22,4,5,1.0,1,4,0.01,data
124931,AkaGar,AkaGar,4,5,0.851063829787234,1,4,0.14893617021276595,data
125134,matson3,matson3,4,5,1.0,1,4,0.01,data
125336,ecottle,ecottle,4,5,1.0,1,4,0.01,data
125537,littlex2015,littlex2015,4,5,1.0,1,4,0.01,data
125737,shivans,shivans,4,5,1.0,1,4,0.01,data
125936,nbraunec,nbraunec,4,5,0.0,1,4,0.99,data
126134,sanjitsama,sanjitsama,4,5,0.0,1,4,0.99,data
126331,Ilyumzhinov,Ilyumzhinov,4,5,1.0,1,4,0.01,data
126527,hihms,hihms,4,5,1.0,1,4,0.01,data
126722,snugghash,snugghash,4,5,0.6923076923076923,1,4,0.3076923076923077,data
126916,zhao744,zhao744,4,5,1.0,1,4,0.01,data
127109,aclipfel,aclipfel,4,5,1.0,1,4,0.01,data
127301,ko68,ko68,4,5,0.8571428571428571,1,4,0.1428571428571429,data
127492,GeoffYart,GeoffYart,4,5,1.0,1,4,0.01,data
127682,gshowal,gshowal,4,5,1.0,1,4,0.01,data
127871,Nigogu,Nigogu,4,5,0.7727272727272727,1,4,0.2272727272727273,data
128059,Daryhez,Daryhez,4,5,1.0,1,4,0.01,data
128246,daapinzonch,daapinzonch,4,5,0.9354838709677419,1,4,0.06451612903225812,data
128432,fewilchesc,fewilchesc,4,5,1.0,1,4,0.01,data
128617,JorgeTorresC,JorgeTorresC,4,5,0.0,1,4,0.99,data
128801,anythinglord,anythinglord,4,5,1.0,1,4,0.01,data
128984,criscapunal,criscapunal,4,5,0.0,1,4,0.99,data
129166,dieguischa,dieguischa,4,5,1.0,1,4,0.01,data
129347,Orloffyeah,Orloffyeah,4,5,0.26666666666666666,1,4,0.7333333333333334,data
129527,SergioLopez40,SergioLopez40,4,5,1.0,1,4,0.01,data
129706,DiegoAraque1207,DiegoAraque1207,4,5,1.0,1,4,0.01,data
129884,olimita,olimita,4,5,0.8,1,4,0.19999999999999996,data
130061,yaochoal,yaochoal,4,5,1.0,1,4,0.01,data
130237,Gavnic,Gavnic,4,5,1.0,1,4,0.01,data
130412,Joacampora,Joacampora,4,5,1.0,1,4,0.01,data
130586,Ozai98,Ozai98,4,5,1.0,1,4,0.01,data
130759,nviverosb,nviverosb,4,5,0.0,1,4,0.99,data
130931,Sariilan,Sariilan,4,5,1.0,1,4,0.01,data
131102,Alekzu,Alekzu,4,5,0.0,1,4,0.99,data
131272,vvargasd,vvargasd,4,5,1.0,1,4,0.01,data
131441,biherrerap,biherrerap,4,5,0.0,1,4,0.99,data
131609,bfprietoc,bfprietoc,4,5,1.0,1,4,0.01,data
131776,LauraMolina,LauraMolina,4,5,1.0,1,4,0.01,data
131942,Acreed21,Acreed21,4,5,1.0,1,4,0.01,data
