username,hack id,repo name,time,climate dataset,extra dataset used,extra dataset list,google api,location,using JS,mashup,readme,good readme,chart,if use library,library list,error_raw,error_normal,tech_point_raw,tech_point_normal,tech_per,tech_detail,user_requirement,user_requirement_normal,user_requirement_per,user_detail,infovis,infoVis_normal,infoVis_per,infovis_detail,combined_infovis_raw,combined_infovis_norm,combined_infovis_per,novelty,novelty_normal,novelty_per,novelty_detail,total_raw,total_norm,total_norm_per
Nigogu,unal0,IH-Project-2017-Nigogu_webapp_phase4,Fri Nov 17 12:12:48 2017,0,4,"Fire Department Directory for New York State, New York City Art Galleries, New York City Museums, Bank-Owned ATM Locations in New York State, ",1,1,1,1,1,1,1,1,"jquery,bootstrap,",0.006355932203389831,99.36440677966102,9,90,92.59%,"0,1,1,1,1,1,1,1,1,",1,20,51.85%,"1.0,0.0,0.0,0.0,0.0,",3,16.666666666666664,85.19%,"1.0,0.0,1.0,1.0,0.0,0.0,",4,17.391304347826086,85.19%,11,2.4444444444444446,92.59%,"1.0,0.0,0.0,;1.0,1.0,2.0,;1.0,1.0,2.0,;2.0,0.0,0.0,;",24,226.59145991975765,92.59%
Daryhez,unal0,IH-Project-2017-Daryhez_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
daapinzonch,unal0,IH-Project-2017-daapinzonch_webapp_phase4,Fri Nov 17 12:12:48 2017,0,4,"New York City Museums, NYCHA Development Data Book, Housing New York Units by Building, NYC City Hall Library Catalog, ",1,0,1,0,0,0,1,1,"d3,jquery,bootstrap,",0.0,100.0,5,50,66.67%,"0,1,0,1,0,0,0,1,1,",1,20,51.85%,"1.0,0.0,0.0,0.0,0.0,",1,5.555555555555555,62.96%,"0.0,0.0,1.0,0.0,0.0,0.0,",2,8.695652173913043,62.96%,6,1.3333333333333335,81.48%,"1.0,0.0,0.0,;3.0,0.0,0.0,;1.0,0.0,0.0,;1.0,0.0,0.0,;",13,168.72463768115944,70.37%
fewilchesc,unal0,IH-Project-2017-fewilchesc_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,0,0,0,0,0,0,,0.0,100.0,1,10,0.0%,"0,0,0,0,0,0,0,0,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,1,110.0,0.0%
JorgeTorresC,unal0,IH-Project-2017-JorgeTorresC_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
anythinglord,unal0,IH-Project-2017-anythinglord_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
criscapunal,unal0,IH-Project-2017-criscapunal_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,1,1,1,0,0,0,1,1,"d3,jquery,bootstrap,",0.01282051282051282,98.71794871794873,6,60,77.78%,"0,1,1,1,0,0,0,1,1,",1,20,51.85%,"1.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",1,4.3478260869565215,51.85%,0,0.0,0.0%,,7,167.41360089186176,66.67%
dieguischa,unal0,IH-Project-2017-dieguischa_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
Orloffyeah,unal0,IH-Project-2017-Orloffyeah_webapp_phase4,Fri Nov 17 12:12:48 2017,0,1,"Housing New York Units by Building, ",1,1,1,1,1,1,1,1,"bootstrap,jquery,d3,",0.002107310747284811,99.78926892527153,9,90,96.3%,"0,1,1,1,1,1,1,1,1,",4,80,96.3%,"1.0,1.0,1.0,1.0,0.0,",4,22.22222222222222,92.59%,"0.0,1.0,1.0,1.0,1.0,0.0,",8,34.78260869565217,96.3%,3,0.6666666666666667,74.07%,"1.0,1.0,1.0,;",20,260.02115298324253,96.3%
SergioLopez40,unal0,IH-Project-2017-SergioLopez40_webapp_phase4,Fri Nov 17 12:12:48 2017,0,0,,0,0,1,0,0,0,1,0,,0.03333333333333333,96.66666666666667,3,30,3.7%,"0,0,0,1,0,0,0,1,0,",0,0,0.0%,"0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,"0.0,0.0,0.0,0.0,0.0,0.0,",0,0.0,0.0%,0,0.0,0.0%,,3,126.66666666666667,3.7%
